time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1998-11-04,126.4688,126.875,126.4688,126.8438,-88334,70329,18005,NaN,NaN,NaN
1998-11-05,126.8438,126.875,126.5313,126.6875,-88334,70329,18005,NaN,NaN,NaN
1998-11-06,126.8125,127.0938,125.0625,125.5938,-88334,70329,18005,NaN,NaN,NaN
1998-11-09,126.9375,127.25,126.8125,127.25,-88334,70329,18005,NaN,NaN,NaN
1998-11-10,126.9688,127.6875,126.8125,127.3125,-88334,70329,18005,NaN,NaN,NaN
1998-11-11,127.25,127.375,127.2188,127.3438,-82108,51689,30419,NaN,NaN,NaN
1998-11-12,127.8125,128.0313,127.7188,127.9375,-82108,51689,30419,NaN,NaN,NaN
1998-11-13,127.8125,128.0625,127.375,127.75,-82108,51689,30419,NaN,NaN,NaN
1998-11-16,127.2813,127.5,127.0625,127.4063,-82108,51689,30419,NaN,NaN,NaN
1998-11-17,126.8125,127,126.75,126.7813,-82108,51689,30419,NaN,NaN,NaN
1998-11-18,127.9063,127.9063,127.6563,127.875,-59876,38904,20972,NaN,NaN,NaN
1998-11-19,127.8125,128.0938,127.75,127.9375,-59876,38904,20972,NaN,NaN,NaN
1998-11-20,127.8438,128.7188,127.75,128.25,-59876,38904,20972,NaN,NaN,NaN
1998-11-23,127.5313,127.5313,127.1875,127.25,-59876,38904,20972,NaN,NaN,NaN
1998-11-24,127.875,128.0313,127.875,127.9063,-59876,38904,20972,NaN,NaN,NaN
1998-11-25,127.75,128.2813,127.75,128.2813,-54374,36884,17490,NaN,NaN,NaN
1998-11-27,128.2813,128.3125,128.1875,128.2188,-54374,36884,17490,NaN,NaN,NaN
1998-11-30,129.625,129.7813,129.625,129.6875,-54374,36884,17490,NaN,NaN,NaN
1998-12-01,129.9375,130.0313,129.8438,129.9063,-54374,36884,17490,NaN,NaN,NaN
1998-12-02,130.2188,130.6875,130.1563,130.5625,-49352,25427,23925,NaN,NaN,NaN
1998-12-03,130.3125,130.5313,130.1875,130.3125,-49352,25427,23925,NaN,NaN,NaN
1998-12-04,130.3125,130.5313,129.4063,129.5,-49352,25427,23925,NaN,NaN,NaN
1998-12-07,129.4375,129.875,129.2813,129.6563,-49352,25427,23925,NaN,NaN,NaN
1998-12-08,130,130.4688,129.9063,130.3438,-49352,25427,23925,NaN,NaN,NaN
1998-12-09,130.5313,130.5313,130.2813,130.5313,-82435,42035,40400,NaN,NaN,NaN
1998-12-10,130.5625,130.7188,130.5,130.5938,-82435,42035,40400,NaN,NaN,NaN
1998-12-11,130.625,130.9063,129.5,129.6563,-82435,42035,40400,NaN,NaN,NaN
1998-12-14,130.3438,130.375,129.9688,130.1563,-82435,42035,40400,NaN,NaN,NaN
1998-12-15,129.2188,129.375,129.2188,129.3438,-82435,42035,40400,NaN,NaN,NaN
1998-12-16,129.6875,130,129.625,129.8125,-76884,44910,31974,NaN,NaN,NaN
1998-12-17,129.6875,129.6875,129.4375,129.5938,-76884,44910,31974,NaN,NaN,NaN
1998-12-18,129.6875,129.6875,129.2813,129.5313,-76884,44910,31974,NaN,NaN,NaN
1998-12-22,127.5313,127.5625,127.5313,127.5625,-76884,44910,31974,NaN,NaN,NaN
1998-12-23,126.625,126.625,126.5313,126.5938,-79001,44092,34909,NaN,NaN,NaN
1998-12-24,126.625,126.9688,126.0625,126.0625,-79001,44092,34909,NaN,NaN,NaN
1998-12-28,127.1563,127.2813,127.1563,127.2813,-79001,44092,34909,NaN,NaN,NaN
1998-12-29,127.75,127.8125,127.75,127.8125,-79001,44092,34909,NaN,NaN,NaN
1998-12-30,127.9063,128,127.8125,127.8125,-81820,55766,26054,NaN,NaN,NaN
1998-12-31,127.9063,128.125,127.4063,127.7813,-81820,55766,26054,NaN,NaN,NaN
1999-01-04,127.4688,127.6563,127.25,127.3438,-81820,55766,26054,NaN,NaN,NaN
1999-01-06,127.5313,127.5938,127.5313,127.5938,-51265,35942,15323,NaN,NaN,NaN
1999-01-07,126.5,126.5,126.4688,126.4688,-51265,35942,15323,NaN,NaN,NaN
1999-01-08,126.5,126.5938,125.0938,125.0938,-51265,35942,15323,NaN,NaN,NaN
1999-01-11,124.625,124.6563,124.5625,124.625,-51265,35942,15323,NaN,NaN,NaN
1999-01-12,125.5625,125.5625,125.5625,125.5625,-51265,35942,15323,NaN,NaN,NaN
1999-01-13,126.0625,126.125,126,126.125,-34738,18080,16658,NaN,NaN,NaN
1999-01-14,127.2813,127.2813,127.25,127.2813,-34738,18080,16658,NaN,NaN,NaN
1999-01-15,127.25,127.9375,126.3438,126.5313,-34738,18080,16658,NaN,NaN,NaN
1999-01-19,126.625,126.7188,126.625,126.6563,-34738,18080,16658,NaN,NaN,NaN
1999-01-20,126.0938,126.1875,126.0625,126.1563,-48115,40752,7363,NaN,NaN,NaN
1999-01-21,126.875,126.9688,126.875,126.9375,-48115,40752,7363,NaN,NaN,NaN
1999-01-22,126.875,127.8125,126.8125,127.7188,-48115,40752,7363,NaN,NaN,NaN
1999-01-25,127.3438,127.4063,127.3438,127.375,-48115,40752,7363,NaN,NaN,NaN
1999-01-26,127.375,127.5,127.2188,127.2813,-48115,40752,7363,NaN,NaN,NaN
1999-01-27,127.375,127.5,127.0313,127.2813,-58599,42903,15696,NaN,NaN,NaN
1999-01-28,127.8438,127.9063,127.8438,127.875,-58599,42903,15696,NaN,NaN,NaN
1999-01-29,127.8438,128.0313,127.3438,127.875,-58599,42903,15696,NaN,NaN,NaN
1999-02-01,126.6875,126.7188,126.6563,126.7188,-58599,42903,15696,NaN,NaN,NaN
1999-02-02,125.7813,125.8125,125.7813,125.8125,-58599,42903,15696,NaN,NaN,NaN
1999-02-03,125.5313,125.5625,125.5,125.5313,-49718,42929,6789,NaN,NaN,NaN
1999-02-04,124.8125,124.8125,124.8125,124.8125,-49718,42929,6789,NaN,NaN,NaN
1999-02-05,124.6875,124.9375,124.1563,124.3125,-49718,42929,6789,NaN,NaN,NaN
1999-02-08,124.4375,124.4688,124.4063,124.4688,-49718,42929,6789,NaN,NaN,NaN
1999-02-09,124.9375,124.9688,124.875,124.9375,-49718,42929,6789,NaN,NaN,NaN
1999-02-10,124.7188,124.7188,124.625,124.7188,-54153,45873,8280,NaN,NaN,NaN
1999-02-11,124.7188,124.7188,124.7188,124.7188,-54153,45873,8280,NaN,NaN,NaN
1999-02-12,124.7188,124.75,122.4688,122.6563,-54153,45873,8280,NaN,NaN,NaN
1999-02-16,123.5313,123.5938,123.5313,123.5625,-54153,45873,8280,NaN,NaN,NaN
1999-02-17,124.1563,124.1875,124.125,124.1563,-68470,52803,15667,NaN,NaN,NaN
