time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-12,109.171875,109.273438,109.15625,109.226563,45499,-3763,-41736,60,52,17
2015-03-13,109.203125,109.273438,109.164063,109.25,45499,-3763,-41736,60,52,17
2015-03-16,109.21875,109.296875,109.210938,109.25,45499,-3763,-41736,60,52,17
2015-03-17,109.257813,109.289063,109.195313,109.210938,45499,-3763,-41736,60,52,17
2015-03-18,109.203125,109.539063,109.195313,109.46875,14953,19523,-34476,52,60,23
2015-03-19,109.476563,109.539063,109.328125,109.351563,14953,19523,-34476,41,69,23
2015-03-20,109.359375,109.46875,109.359375,109.429688,14953,19523,-34476,41,69,23
2015-03-23,109.445313,109.476563,109.40625,109.429688,14953,19523,-34476,41,69,23
2015-03-24,109.453125,109.507813,109.421875,109.484375,14953,19523,-34476,41,69,23
2015-03-25,109.507813,109.546875,109.460938,109.476563,-53320,90519,-37199,21,96,21
2015-03-26,109.46875,109.5,109.414063,109.445313,-53320,90519,-37199,18,96,21
2015-03-27,109.460938,109.546875,109.445313,109.546875,-53320,90519,-37199,18,96,21
2015-03-30,109.515625,109.570313,109.5,109.507813,-53320,90519,-37199,18,96,21
2015-03-31,109.539063,109.585938,109.523438,109.578125,-53320,90519,-37199,18,96,21
2015-04-01,109.570313,109.640625,109.53125,109.617188,-101081,138968,-37887,2,100,20
2015-04-02,109.601563,109.664063,109.59375,109.609375,-101081,138968,-37887,0,100,20
2015-04-06,109.742188,109.75,109.6875,109.695313,-101081,138968,-37887,0,100,20
2015-04-07,109.703125,109.710938,109.640625,109.65625,-101081,138968,-37887,0,100,20
2015-04-08,109.65625,109.671875,109.601563,109.648438,-95936,125376,-29440,2,95,27
2015-04-09,109.648438,109.664063,109.59375,109.609375,-95936,125376,-29440,2,95,27
2015-04-10,109.609375,109.625,109.5625,109.578125,-95936,125376,-29440,2,95,27
2015-04-13,109.59375,109.648438,109.546875,109.625,-95936,125376,-29440,2,95,27
2015-04-14,109.648438,109.71875,109.601563,109.671875,-95936,125376,-29440,2,95,27
2015-04-15,109.6875,109.726563,109.671875,109.710938,-133719,158146,-24427,0,100,31
2015-04-16,109.710938,109.773438,109.6875,109.757813,-133719,158146,-24427,0,100,31
2015-04-17,109.742188,109.804688,109.6875,109.71875,-133719,158146,-24427,0,100,31
2015-04-20,109.703125,109.726563,109.65625,109.664063,-133719,158146,-24427,0,100,31
2015-04-21,109.671875,109.6875,109.632813,109.671875,-133719,158146,-24427,0,100,31
2015-04-22,109.6875,109.695313,109.609375,109.632813,-143562,178831,-35269,0,100,22
2015-04-23,109.625,109.679688,109.617188,109.664063,-143562,178831,-35269,0,100,22
2015-04-24,109.664063,109.734375,109.640625,109.726563,-143562,178831,-35269,0,100,22
2015-04-27,109.734375,109.734375,109.679688,109.710938,-143562,178831,-35269,0,100,22
2015-04-28,109.726563,109.734375,109.664063,109.6875,-143562,178831,-35269,0,100,22
2015-04-29,109.664063,109.710938,109.585938,109.671875,-136435,173495,-37060,2,98,21
2015-04-30,109.6875,109.6875,109.554688,109.632813,-136435,173495,-37060,2,98,21
2015-05-01,109.648438,109.648438,109.570313,109.585938,-136435,173495,-37060,2,98,21
2015-05-04,109.601563,109.625,109.554688,109.601563,-136435,173495,-37060,2,98,21
2015-05-05,109.601563,109.640625,109.523438,109.546875,-136435,173495,-37060,2,98,21
2015-05-06,109.539063,109.570313,109.492188,109.515625,-129266,169298,-40032,4,97,18
2015-05-07,109.507813,109.5625,109.460938,109.53125,-129266,169298,-40032,4,97,29
2015-05-08,109.523438,109.6875,109.5,109.65625,-129266,169298,-40032,4,97,29
2015-05-11,109.65625,109.679688,109.570313,109.585938,-129266,169298,-40032,4,97,29
2015-05-12,109.578125,109.640625,109.515625,109.617188,-129266,169298,-40032,4,97,29
2015-05-13,109.617188,109.71875,109.617188,109.6875,-77722,114693,-36971,19,81,33
2015-05-14,109.679688,109.765625,109.671875,109.757813,-77722,114693,-36971,19,81,33
2015-05-15,109.75,109.789063,109.726563,109.765625,-77722,114693,-36971,19,81,33
2015-05-18,109.765625,109.789063,109.679688,109.703125,-77722,114693,-36971,19,81,33
2015-05-19,109.695313,109.742188,109.609375,109.632813,-77722,114693,-36971,19,81,33
2015-05-20,109.617188,109.679688,109.617188,109.671875,-67254,100536,-33282,22,77,37
2015-05-21,109.671875,109.703125,109.648438,109.6875,-67254,100536,-33282,22,77,37
