time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2000-05-22,96.89063,96.89063,96.89063,96.89063,22297,1758,-24055,NaN,NaN,NaN
2000-05-23,96.98438,96.98438,96.96875,96.96875,22297,1758,-24055,NaN,NaN,NaN
2000-05-24,97.10938,97.10938,97.09375,97.10938,12651,7380,-20031,NaN,NaN,NaN
2000-05-25,97.375,97.40625,97.375,97.40625,12651,7380,-20031,NaN,NaN,NaN
2000-05-26,97.375,97.45313,97.15625,97.45313,12651,7380,-20031,NaN,NaN,NaN
2000-05-30,97.25,97.25,97.25,97.25,12651,7380,-20031,NaN,NaN,NaN
2000-05-31,97.60938,97.60938,97.59375,97.59375,6298,14813,-21111,NaN,NaN,NaN
2000-06-01,98,98.01563,98,98.01563,6298,14813,-21111,NaN,NaN,NaN
2000-06-02,98,98.0625,97.89063,97.98438,6298,14813,-21111,NaN,NaN,NaN
2000-06-05,98.39063,98.39063,98.375,98.375,6298,14813,-21111,NaN,NaN,NaN
2000-06-06,98.39063,98.39063,98.21875,98.21875,6298,14813,-21111,NaN,NaN,NaN
2000-06-07,98.28125,98.29688,98.28125,98.29688,3969,7217,-11186,NaN,NaN,NaN
2000-06-08,98.25,98.25,98.25,98.25,3969,7217,-11186,NaN,NaN,NaN
2000-06-09,98.25,98.32813,98.21875,98.25,3969,7217,-11186,NaN,NaN,NaN
2000-06-12,98.42188,98.42188,98.42188,98.42188,3969,7217,-11186,NaN,NaN,NaN
2000-06-13,98.45313,98.46875,98.45313,98.46875,3969,7217,-11186,NaN,NaN,NaN
2000-06-14,98.70313,98.70313,98.70313,98.70313,-607,8742,-8135,NaN,NaN,NaN
2000-06-15,98.70313,98.73438,98.57813,98.64063,-607,8742,-8135,NaN,NaN,NaN
2000-06-16,98.67188,98.95313,98.59375,98.70313,-607,8742,-8135,NaN,NaN,NaN
2000-06-19,98.90625,98.90625,98.90625,98.90625,-607,8742,-8135,NaN,NaN,NaN
2000-06-20,98.90625,98.9375,98.79688,98.79688,-607,8742,-8135,NaN,NaN,NaN
2000-06-21,98.4375,98.45313,98.4375,98.4375,-10196,7219,2977,NaN,NaN,NaN
2000-06-22,98.4375,98.46875,98.375,98.46875,-10196,7219,2977,NaN,NaN,NaN
2000-06-23,98.4375,98.51563,98.40625,98.40625,-10196,7219,2977,NaN,NaN,NaN
2000-06-26,98.5625,98.5625,98.5625,98.5625,-10196,7219,2977,NaN,NaN,NaN
2000-06-27,98.54688,98.54688,98.54688,98.54688,-10196,7219,2977,NaN,NaN,NaN
2000-06-28,98.59375,98.60938,98.59375,98.60938,-8026,4440,3586,NaN,NaN,NaN
2000-06-29,98.9375,98.9375,98.9375,98.9375,-8026,4440,3586,NaN,NaN,NaN
2000-06-30,98.9375,99.03125,98.875,99.03125,-8026,4440,3586,NaN,NaN,NaN
2000-07-03,99.01563,99.1875,98.89063,98.95313,-8026,4440,3586,NaN,NaN,NaN
2000-07-05,99.3125,99.46875,99.26563,99.26563,-8026,4440,3586,NaN,NaN,NaN
2000-07-06,99.28125,99.29688,99.04688,99.17188,-12579,12492,87,NaN,NaN,NaN
2000-07-07,99.04688,99.34375,98.95313,99.10938,-12579,12492,87,NaN,NaN,NaN
2000-07-10,99.125,99.125,99.125,99.125,-12579,12492,87,NaN,NaN,NaN
2000-07-11,99.125,99.17188,99.03125,99.07813,-12579,12492,87,NaN,NaN,NaN
2000-07-12,98.98438,98.98438,98.98438,98.98438,-10018,12919,-2901,NaN,NaN,NaN
2000-07-13,99.26563,99.26563,99.26563,99.26563,-10018,12919,-2901,NaN,NaN,NaN
2000-07-14,99.26563,99.28125,98.78125,98.78125,-10018,12919,-2901,NaN,NaN,NaN
2000-07-17,98.51563,98.51563,98.51563,98.51563,-10018,12919,-2901,NaN,NaN,NaN
2000-07-18,98.54688,98.54688,98.54688,98.54688,-10018,12919,-2901,NaN,NaN,NaN
2000-07-19,98.54688,98.59375,98.45313,98.48438,-19198,21374,-2176,NaN,NaN,NaN
2000-07-20,98.51563,99.0625,98.5,99.0625,-19198,21374,-2176,NaN,NaN,NaN
2000-07-21,99.10938,99.14063,99.0625,99.14063,-19198,21374,-2176,NaN,NaN,NaN
2000-07-24,99.04688,99.04688,99.04688,99.04688,-19198,21374,-2176,NaN,NaN,NaN
2000-07-25,99.07813,99.07813,99.07813,99.07813,-19198,21374,-2176,NaN,NaN,NaN
2000-07-26,99.07813,99.14063,99.0625,99.07813,-15993,19184,-3191,NaN,NaN,NaN
2000-07-27,99.20313,99.20313,99.20313,99.20313,-15993,19184,-3191,NaN,NaN,NaN
2000-07-28,99.20313,99.26563,99.17188,99.21875,-15993,19184,-3191,NaN,NaN,NaN
2000-07-31,99.1875,99.1875,99.1875,99.1875,-15993,19184,-3191,NaN,NaN,NaN
2000-08-01,99.39063,99.39063,99.39063,99.39063,-15993,19184,-3191,NaN,NaN,NaN
2000-08-02,99.46875,99.51563,99.46875,99.51563,-15474,20146,-4672,NaN,NaN,NaN
2000-08-03,99.54688,99.54688,99.54688,99.54688,-15474,20146,-4672,NaN,NaN,NaN
2000-08-04,99.54688,99.60938,99.51563,99.54688,-15474,20146,-4672,NaN,NaN,NaN
2000-08-07,99.75,99.79688,99.57813,99.71875,-15474,20146,-4672,NaN,NaN,NaN
2000-08-08,99.75,99.75,99.73438,99.73438,-15474,20146,-4672,NaN,NaN,NaN
2000-08-09,99.73438,99.73438,99.73438,99.73438,-34942,37197,-2255,NaN,NaN,NaN
2000-08-10,99.89063,99.90625,99.89063,99.90625,-34942,37197,-2255,NaN,NaN,NaN
2000-08-11,99.89063,99.98438,99.59375,99.59375,-34942,37197,-2255,NaN,NaN,NaN
2000-08-14,99.625,99.625,99.625,99.625,-34942,37197,-2255,NaN,NaN,NaN
2000-08-15,99.46875,99.46875,99.46875,99.46875,-34942,37197,-2255,NaN,NaN,NaN
2000-08-16,99.39063,99.39063,99.39063,99.39063,-26177,17161,9016,NaN,NaN,NaN
2000-08-17,99.39063,99.40625,99.39063,99.39063,-26177,17161,9016,NaN,NaN,NaN
2000-08-18,99.39063,99.53125,99.32813,99.53125,-26177,17161,9016,NaN,NaN,NaN
2000-08-21,99.51563,99.54688,99.48438,99.53125,-26177,17161,9016,NaN,NaN,NaN
2000-08-22,99.59375,99.59375,99.59375,99.59375,-26177,17161,9016,NaN,NaN,NaN
2000-08-23,99.59375,99.79688,99.5625,99.71875,-25785,22470,3315,NaN,NaN,NaN
2000-08-24,99.875,99.875,99.875,99.875,-25785,22470,3315,NaN,NaN,NaN
2000-08-25,99.875,99.90625,99.8125,99.82813,-25785,22470,3315,NaN,NaN,NaN
2000-08-28,100,100,99.71875,99.71875,-25785,22470,3315,NaN,NaN,NaN
2000-08-29,99.8125,99.8125,99.57813,99.59375,-25785,22470,3315,NaN,NaN,NaN
2000-08-30,99.5,99.60938,99.5,99.60938,-29661,23705,5956,NaN,NaN,NaN
2000-08-31,99.64063,100,99.5625,100,-29661,23705,5956,NaN,NaN,NaN
2000-09-01,100.1094,100.4531,100.0625,100.4063,-29661,23705,5956,NaN,NaN,NaN
2000-09-05,100.3594,100.3906,100.2344,100.3594,-29661,23705,5956,NaN,NaN,NaN
2000-09-06,100.3438,100.3906,100.2031,100.2344,-32118,20181,11937,NaN,NaN,NaN
2000-09-07,100.2188,100.2813,100.125,100.1563,-32118,20181,11937,NaN,NaN,NaN
2000-09-08,100.1875,100.2813,100.125,100.25,-32118,20181,11937,NaN,NaN,NaN
2000-09-11,100.0938,100.0938,100.0625,100.0781,-32118,20181,11937,NaN,NaN,NaN
2000-09-12,100.0938,100.1719,100.0313,100.125,-32118,20181,11937,NaN,NaN,NaN
2000-09-13,100.125,100.3281,100.1094,100.3125,-30266,20291,9975,NaN,NaN,NaN
2000-09-14,100.25,100.2656,100.2344,100.25,-30266,20291,9975,NaN,NaN,NaN
2000-09-15,100.1875,100.5625,100.1719,100.3438,-30266,20291,9975,NaN,NaN,NaN
2000-09-18,100.3906,100.4688,100.375,100.375,-30266,20291,9975,NaN,NaN,NaN
2000-09-19,100.3438,100.3594,100.3438,100.3594,-30266,20291,9975,NaN,NaN,NaN
2000-09-20,100.1719,100.2031,100.1563,100.1719,-43219,32873,10346,NaN,NaN,NaN
2000-09-21,100.1875,100.4688,100.1719,100.4219,-43219,32873,10346,NaN,NaN,NaN
2000-09-22,100.2969,100.3281,100.2813,100.2813,-43219,32873,10346,NaN,NaN,NaN
2000-09-25,100.2969,100.3281,100.2969,100.2969,-43219,32873,10346,NaN,NaN,NaN
2000-09-26,100.4375,100.5,100.4219,100.4844,-43219,32873,10346,NaN,NaN,NaN
2000-09-27,100.4688,100.4844,100.4531,100.4688,-43879,31635,12244,NaN,NaN,NaN
2000-09-28,100.4375,100.5,100.4063,100.4844,-43879,31635,12244,NaN,NaN,NaN
2000-09-29,100.6094,100.6094,100.5313,100.5938,-43879,31635,12244,NaN,NaN,NaN
2000-10-02,100.5938,100.6094,100.5781,100.6094,-43879,31635,12244,NaN,NaN,NaN
2000-10-03,100.4688,100.5469,100.4375,100.4531,-43879,31635,12244,NaN,NaN,NaN
2000-10-04,100.2969,100.3281,100.2969,100.3281,-33064,20710,12354,NaN,NaN,NaN
2000-10-05,100.4219,100.4531,100.4219,100.4375,-33064,20710,12354,NaN,NaN,NaN
2000-10-06,100.6719,100.6875,100.6094,100.6094,-33064,20710,12354,NaN,NaN,NaN
2000-10-09,100.6719,100.6875,100.4844,100.4844,-33064,20710,12354,NaN,NaN,NaN
2000-10-10,100.5781,100.7031,100.5469,100.6563,-33064,20710,12354,NaN,NaN,NaN
2000-10-11,100.75,100.7656,100.6875,100.7031,-28388,23050,5338,NaN,NaN,NaN
2000-10-12,100.6406,101.125,100.5469,101.125,-28388,23050,5338,NaN,NaN,NaN
2000-10-13,101.0938,101.2656,100.9375,101,-28388,23050,5338,NaN,NaN,NaN
2000-10-16,100.9844,101,100.7813,100.9219,-28388,23050,5338,NaN,NaN,NaN
2000-10-17,100.8906,101.2656,100.8125,101.1563,-28388,23050,5338,NaN,NaN,NaN
2000-10-18,101.1875,101.7656,101.0938,101.1875,-22471,6687,15784,NaN,NaN,NaN
2000-10-19,101.1563,101.3594,100.9844,101.2031,-22471,6687,15784,NaN,NaN,NaN
2000-10-20,101.1563,101.3125,101.125,101.2813,-22471,6687,15784,NaN,NaN,NaN
2000-10-23,101.2813,101.4219,101.2344,101.3906,-22471,6687,15784,NaN,NaN,NaN
2000-10-24,101.3906,101.4063,101.0938,101.25,-22471,6687,15784,NaN,NaN,NaN
2000-10-25,101.3125,101.4375,100.9688,101.0156,-28783,9049,19734,NaN,NaN,NaN
2000-10-26,101.0156,101.1719,100.9219,100.9688,-28783,9049,19734,NaN,NaN,NaN
2000-10-27,100.9219,101.0469,100.7656,100.8125,-28783,9049,19734,NaN,NaN,NaN
2000-10-30,100.7969,100.9375,100.7031,100.7031,-28783,9049,19734,NaN,NaN,NaN
2000-10-31,100.7344,100.875,100.625,100.7188,-28783,9049,19734,NaN,NaN,NaN
