time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1976-06-03,44.5,44.5,44.5,44.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-04,45.75,45.75,45.75,45.75,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-07,45.75,46,45.55,46,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-08,45.5,45.75,45.5,45.75,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-09,46,46,46,46,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-10,46,46,46,46,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-11,46,46,46,46,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-14,46.25,46.25,46.25,46.25,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-15,46,46,46,46,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-16,46,46,45.5,45.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-17,45.4,45.4,45.4,45.4,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-18,45.3,45.3,44.6,44.6,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-21,44.8,44.8,44.8,44.8,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-22,44,44,43.8,44,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-23,43.55,43.55,43.55,43.55,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-24,43.55,43.55,43.55,43.55,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-25,43.55,43.55,43.55,43.55,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-28,45,45,45,45,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-29,45,45,45,45,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-30,44.5,44.5,44.5,44.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-01,44,44,43,43,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-02,42.2,42.2,42.2,42.2,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-06,41,41,41,41,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-07,42.5,42.5,42.5,42.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-08,43.25,43.5,43.25,43.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-09,43.5,43.5,43.15,43.15,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-12,42.5,42.5,42.5,42.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-13,42.8,42.8,42.8,42.8,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-14,43.25,43.25,43.1,43.1,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-15,43.1,43.1,43.1,43.1,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-16,43.5,43.5,43.5,43.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-19,43.75,43.75,43.5,43.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-20,42.6,42.6,42.6,42.6,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-21,42.6,42.95,42.6,42.6,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-22,43.5,43.5,43.5,43.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-23,43.8,44.1,43.8,44.1,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-26,44.1,44.1,44.1,44.1,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-27,43.5,43.5,43.25,43.25,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-28,42.75,43.2,42.75,42.75,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-29,42.75,42.75,42.75,42.75,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-30,42.5,42.5,42.5,42.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-02,42.15,42.3,42.15,42.15,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-03,41.75,42,41.75,41.75,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-04,42.1,42.25,42.1,42.25,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-05,42.1,42.25,42.1,42.25,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-06,42.25,42.3,42.25,42.25,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-09,43.4,43.4,43.4,43.4,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-10,43.4,43.4,43.4,43.4,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-11,43.8,43.8,43.8,43.8,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-12,43.8,43.8,43.8,43.8,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-13,43.85,44.3,43.75,44.3,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-16,44.4,44.7,44.4,44.4,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-17,44.45,44.45,44.3,44.3,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-18,44.4,44.5,44.4,44.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-19,44.5,44.6,44.5,44.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-20,44.6,44.65,44.5,44.5,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-23,44.9,45,44.9,45,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-24,45,45,44.2,44.2,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-25,44,44,43.5,43.5,NaN,NaN,NaN,NaN,NaN,NaN
