time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1979-12-19,3197,3197,3178,3178,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-20,3170,3175,3170,3175,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-21,3185,3185,3175,3175,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-26,3191,3191,3191,3191,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-27,3215,3217,3146,3146,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-28,3130,3130,3121,3121,NaN,NaN,NaN,NaN,NaN,NaN
1979-12-31,3140,3145,3033,3033,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-02,3042,3042,3042,3042,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-03,3095,3095,3086,3086,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-04,3090,3090,3090,3090,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-07,3133,3133,3133,3133,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-08,3170,3170,3170,3170,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-09,3179,3180,3146,3146,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-10,3150,3165,3147,3147,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-11,3150,3184,3150,3184,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-14,3154,3154,3154,3154,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-15,3175,3176,3170,3176,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-16,3150,3175,3150,3156,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-17,3160,3160,3150,3155,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-18,3170,3182,3140,3140,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-21,3160,3165,3120,3120,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-22,3140,3140,3109,3120,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-23,3140,3140,3140,3140,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-24,3185,3185,3145,3145,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-25,3170,3185,3155,3155,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-28,3180,3181,3180,3181,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-29,3200,3260,3200,3260,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-30,3260,3260,3260,3260,NaN,NaN,NaN,NaN,NaN,NaN
1980-01-31,3265,3265,3210,3210,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-01,3220,3220,3196,3196,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-04,3210,3284,3210,3283,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-05,3289,3289,3269,3269,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-06,3250,3280,3250,3260,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-07,3265,3265,3230,3230,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-08,3250,3250,3225,3225,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-11,3260,3280,3250,3280,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-13,3340,3352,3314,3314,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-14,3320,3325,3290,3305,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-15,3300,3300,3217,3218,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-19,3225,3240,3130,3130,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-20,3090,3111,3080,3080,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-21,3155,3160,3090,3098,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-22,3120,3150,3050,3080,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-25,3100,3122,3085,3122,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-26,3120,3130,3108,3108,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-27,3130,3150,3130,3150,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-28,3125,3125,3100,3100,NaN,NaN,NaN,NaN,NaN,NaN
1980-02-29,3090,3100,3060,3060,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-03,3140,3148,3130,3134,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-04,3095,3130,3095,3125,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-05,3150,3180,3150,3174,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-06,3140,3144,3115,3115,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-07,3080,3095,3060,3085,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-10,3090,3095,3055,3055,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-11,3105,3105,3085,3085,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-12,3100,3100,3071,3071,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-13,3070,3070,2984,2998,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-14,3010,3050,3010,3045,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-17,3000,3000,3000,3000,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-18,3050,3062,3050,3062,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-19,3080,3080,3080,3080,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-20,3115,3115,3045,3045,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-21,3089,3089,3089,3089,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-24,3050,3130,3050,3115,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-25,3075,3086,3048,3048,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-26,3070,3070,3040,3040,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-27,3010,3040,2980,2985,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-28,2980,2980,2935,2935,NaN,NaN,NaN,NaN,NaN,NaN
1980-03-31,2935,2980,2935,2945,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-01,2940,2940,2920,2925,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-02,2940,2955,2935,2950,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-03,2950,2962,2950,2962,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-07,2970,2973,2969,2971,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-08,2978,3004,2978,3004,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-09,3015,3015,2972,2978,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-10,2970,2970,2935,2955,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-11,2940,2960,2939,2940,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-14,2940,2940,2903,2905,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-15,2875,2900,2875,2881,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-16,2895,2925,2895,2909,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-17,2925,2925,2905,2905,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-18,2855,2880,2848,2848,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-21,2830,2831,2785,2815,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-22,2808,2840,2808,2840,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-23,2830,2850,2811,2845,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-24,2830,2844,2815,2840,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-25,2920,2925,2850,2855,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-28,2810,2810,2785,2795,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-29,2795,2800,2779,2800,NaN,NaN,NaN,NaN,NaN,NaN
1980-04-30,2788,2788,2720,2732,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-01,2685,2705,2655,2675,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-02,2705,2705,2657,2688,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-05,2690,2692,2665,2668,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-06,2700,2700,2650,2655,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-07,2668,2690,2668,2685,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-08,2735,2740,2715,2725,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-09,2709,2715,2690,2715,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-12,2700,2718,2660,2666,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-13,2650,2650,2600,2605,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-14,2610,2618,2600,2600,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-15,2565,2575,2560,2570,NaN,NaN,NaN,NaN,NaN,NaN
1980-05-16,2560,2610,2560,2610,NaN,NaN,NaN,NaN,NaN,NaN
