time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-02,141.3,142.4,137.95,138.35,-13518,13381,137,100,0,23
2015-03-03,139,139.2,128.8,129.75,-13518,13381,137,100,0,23
2015-03-04,131,138.55,130.2,137.55,-4877,4083,794,100,0,74
2015-03-05,137.5,137.55,133.3,135.05,-4877,4083,794,100,0,74
2015-03-06,135.1,140.1,133.15,139.9,-4877,4083,794,100,0,74
2015-03-09,139.5,142.2,134.15,137,-4877,4083,794,100,0,74
2015-03-10,135.9,137,133.8,135.05,-4877,4083,794,100,0,74
2015-03-11,134.65,137.1,131.15,131.75,-2535,1555,980,100,0,89
2015-03-12,131.2,134.65,130,132.2,-2535,1555,980,100,0,89
2015-03-13,132.55,134.05,128.75,129.8,-2535,1555,980,100,0,89
2015-03-16,130.5,139.75,130.5,138.05,-2535,1555,980,100,0,89
2015-03-17,138.65,139.5,134.25,138.15,-2535,1555,980,100,0,89
2015-03-18,136.25,141.5,133.25,140.05,-1196,284,912,100,0,83
2015-03-19,140.5,146.75,140.05,144.15,-1196,284,912,100,0,83
2015-03-20,143,143.9,140.5,143.35,-1196,284,912,100,0,83
2015-03-23,142,144.3,139.4,141.85,-1196,284,912,100,0,83
2015-03-24,142,145.4,136.15,137.3,-1196,284,912,100,0,83
2015-03-25,137.3,142.35,136,139.95,1360,-2195,835,100,0,77
2015-03-26,140,142.8,138.3,140.25,1360,-2195,835,100,0,77
2015-03-27,139.75,140.8,136.55,138.2,1360,-2195,835,100,0,77
2015-03-30,138.8,138.9,131.8,132.35,1360,-2195,835,100,0,77
2015-03-31,133,135.95,131.9,132.9,1360,-2195,835,100,0,77
2015-04-01,133.4,139.8,133.05,134.85,1960,-2893,933,100,0,85
2015-04-02,134.15,141.45,134.05,140.9,1960,-2893,933,100,0,85
2015-04-06,140.9,147.35,140.2,146.2,1960,-2893,933,100,0,85
2015-04-07,145.5,145.75,141.2,141.95,1960,-2893,933,100,0,85
2015-04-08,141.75,144.4,135.1,135.7,-3414,1440,1974,82,14,100
2015-04-09,139.4,140.85,136.65,140.15,-3414,1440,1974,82,14,100
2015-04-10,139.8,140.9,136.55,137.85,-3414,1440,1974,82,14,100
2015-04-13,137.5,140.45,135.55,136.2,-3414,1440,1974,82,14,100
2015-04-14,136.35,138.15,134.35,136.65,-3414,1440,1974,82,14,100
2015-04-15,136.5,139.4,135.35,137.35,3493,-5339,1846,100,0,93
2015-04-16,138,142.75,137.6,141.5,3493,-5339,1846,100,0,93
2015-04-17,140.95,143.35,139.6,141.4,3493,-5339,1846,100,0,93
2015-04-20,141,142.5,136.8,141.25,3493,-5339,1846,100,0,93
2015-04-21,141.9,145.3,140.5,142.7,3493,-5339,1846,100,0,93
2015-04-22,142.55,147.25,141.8,143.65,-1090,-962,2052,73,23,100
2015-04-23,143.05,145.45,141.15,141.5,-1090,-962,2052,73,23,100
2015-04-24,141.95,143.95,141.5,142.15,-1090,-962,2052,73,23,100
2015-04-27,141.65,142.2,134.6,137.05,-1090,-962,2052,73,23,100
2015-04-28,137.85,138.65,135.3,138.55,-1090,-962,2052,73,23,100
2015-04-29,138.1,139.35,135.65,139,145,-1362,1217,60,42,34
2015-04-30,139.4,143.6,136.05,137.45,145,-1362,1217,60,42,34
2015-05-01,137.55,138.3,132.5,134.2,145,-1362,1217,60,42,34
2015-05-04,133.8,134.95,131.55,132.9,145,-1362,1217,60,42,34
2015-05-05,133.05,134.65,132.05,133.65,145,-1362,1217,60,42,34
2015-05-06,133.65,134.25,129.15,129.95,2372,-3563,1191,84,26,29
2015-05-07,130.95,132.4,129.7,131.7,2372,-3563,1191,84,26,29
2015-05-08,132.05,136.7,131.55,134.65,2372,-3563,1191,84,26,29
2015-05-11,133.65,135.3,132.5,134.35,2372,-3563,1191,84,26,29
2015-05-12,134.4,136.4,133.3,135.5,2372,-3563,1191,84,26,29
2015-05-13,136.05,136.3,132.95,135.4,3772,-5243,1471,100,1,52
2015-05-14,135.6,138.2,133.8,137.5,3772,-5243,1471,100,1,52
2015-05-15,137.5,139.2,135.7,138.25,3772,-5243,1471,100,1,52
2015-05-18,138.35,143.4,137.35,143.15,3772,-5243,1471,100,1,52
2015-05-19,143,143.85,138.2,139.85,3772,-5243,1471,100,1,52
2015-05-20,139.55,141.4,135.55,136,-2665,903,1762,10,92,76
2015-05-21,136.15,136.75,127.85,128.45,-2665,903,1762,10,92,76
2015-05-22,129.5,129.7,125.8,126.95,-2665,903,1762,10,92,76
2015-05-26,128,128.6,123.65,124.05,-2665,903,1762,10,92,76
2015-05-27,124.75,126.75,123.55,124.5,11095,-12814,1719,100,0,73
2015-05-28,124.95,127.05,123.8,125.15,11095,-12814,1719,100,0,70
2015-05-29,125.6,127.05,124.55,126.15,11095,-12814,1719,100,0,70
2015-06-01,128.2,132.15,128.15,129.8,11095,-12814,1719,100,0,70
2015-06-02,129.35,134,128.9,132.7,11095,-12814,1719,100,0,70
2015-06-03,132.7,135.15,130.6,134.3,9867,-10730,863,92,15,0
2015-06-04,134.3,137,133.2,135.7,9867,-10730,863,92,15,0
2015-06-05,135,136.4,132.9,135.1,9867,-10730,863,92,15,0
2015-06-08,135,137.4,134.2,136.55,9867,-10730,863,92,15,0
2015-06-09,136.45,137.7,133.55,137.35,9867,-10730,863,92,15,0
2015-06-10,137.55,138.85,135.55,136.45,-2,-452,454,19,90,0
