time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-12,2.6055,2.68,2.5985,2.6585,32354,-21528,-10826,67,36,19
2015-03-13,2.662,2.6745,2.6465,2.6635,32354,-21528,-10826,67,36,19
2015-03-16,2.673,2.6845,2.651,2.6675,32354,-21528,-10826,67,36,19
2015-03-17,2.6625,2.6765,2.609,2.633,32354,-21528,-10826,67,36,19
2015-03-18,2.637,2.6455,2.5525,2.5705,28170,-17547,-10623,61,43,20
2015-03-19,2.61,2.6675,2.5955,2.66,28170,-17547,-10623,61,43,20
2015-03-20,2.6655,2.774,2.645,2.761,28170,-17547,-10623,61,43,20
2015-03-23,2.761,2.9145,2.755,2.7895,28170,-17547,-10623,61,43,20
2015-03-24,2.878,2.8875,2.775,2.803,28170,-17547,-10623,61,43,20
2015-03-25,2.794,2.808,2.773,2.792,17576,-9080,-8496,45,58,37
2015-03-26,2.7905,2.869,2.7835,2.811,17576,-9080,-8496,45,58,37
2015-03-27,2.806,2.8095,2.756,2.7675,17576,-9080,-8496,45,58,37
2015-03-30,2.76,2.7925,2.748,2.7815,17576,-9080,-8496,45,58,37
2015-03-31,2.7785,2.787,2.735,2.74,17576,-9080,-8496,45,58,37
2015-04-01,2.741,2.7615,2.7095,2.7485,12914,-4154,-8760,38,67,35
2015-04-02,2.744,2.7655,2.7165,2.734,12914,-4154,-8760,38,67,35
2015-04-06,2.7315,2.831,2.6935,2.717,12914,-4154,-8760,38,67,35
2015-04-07,2.7165,2.777,2.712,2.763,12914,-4154,-8760,38,67,35
2015-04-08,2.755,2.7685,2.7235,2.7315,11176,-4996,-6180,35,65,56
2015-04-09,2.7345,2.7595,2.7155,2.729,11176,-4996,-6180,35,65,56
2015-04-10,2.724,2.78,2.7215,2.734,11176,-4996,-6180,35,65,56
2015-04-13,2.736,2.762,2.7125,2.719,11176,-4996,-6180,35,65,56
2015-04-14,2.717,2.726,2.675,2.7,11176,-4996,-6180,35,65,56
2015-04-15,2.704,2.7275,2.6685,2.7125,14830,-7230,-7600,40,61,44
2015-04-16,2.7225,2.7875,2.719,2.774,14830,-7230,-7600,40,61,44
2015-04-17,2.7775,2.809,2.7615,2.774,14830,-7230,-7600,40,61,44
2015-04-20,2.814,2.8295,2.722,2.7325,14830,-7230,-7600,40,61,44
2015-04-21,2.728,2.739,2.688,2.702,14830,-7230,-7600,40,61,44
2015-04-22,2.6965,2.7085,2.663,2.6655,15428,-12319,-3109,41,52,80
2015-04-23,2.668,2.7035,2.6475,2.694,15428,-12319,-3109,41,52,80
2015-04-24,2.7,2.761,2.684,2.748,15428,-12319,-3109,41,52,80
2015-04-27,2.746,2.785,2.732,2.77,15428,-12319,-3109,41,52,80
2015-04-28,2.7755,2.787,2.7475,2.78,15428,-12319,-3109,41,52,80
2015-04-29,2.786,2.804,2.76,2.799,20296,-16083,-4213,49,46,72
2015-04-30,2.7935,2.89,2.788,2.8865,20296,-16083,-4213,49,46,72
2015-05-01,2.885,2.9375,2.875,2.9295,20296,-16083,-4213,49,46,72
2015-05-04,2.932,2.933,2.8925,2.9205,20296,-16083,-4213,49,46,72
2015-05-05,2.9105,2.956,2.8995,2.935,20296,-16083,-4213,49,46,72
2015-05-06,2.931,2.947,2.902,2.926,3678,-452,-3226,23,73,79
2015-05-07,2.9275,2.9375,2.905,2.918,3678,-452,-3226,23,73,79
2015-05-08,2.915,2.933,2.888,2.9205,3678,-452,-3226,23,73,79
2015-05-11,2.9285,2.9295,2.896,2.903,3678,-452,-3226,23,73,79
2015-05-12,2.911,2.946,2.9,2.9315,3678,-452,-3226,23,73,79
2015-05-13,2.928,2.9475,2.912,2.929,-5613,8516,-2903,9,89,82
2015-05-14,2.9325,2.939,2.9065,2.9235,-5613,8516,-2903,9,89,82
2015-05-15,2.92,2.9315,2.8955,2.9245,-5613,8516,-2903,9,89,82
2015-05-18,2.9255,2.949,2.893,2.9065,-5613,8516,-2903,9,89,82
2015-05-19,2.9085,2.913,2.826,2.8375,-5613,8516,-2903,9,89,82
2015-05-20,2.8375,2.8435,2.8205,2.829,-6776,9341,-2565,8,91,85
2015-05-21,2.829,2.8605,2.828,2.8485,-6776,9341,-2565,8,91,85
2015-05-22,2.852,2.8555,2.7895,2.811,-6776,9341,-2565,8,91,85
2015-05-26,2.7995,2.8345,2.773,2.778,-6776,9341,-2565,8,91,85
2015-05-27,2.777,2.7905,2.7585,2.7685,-366,1624,-1258,17,77,95
2015-05-28,2.7635,2.784,2.7585,2.7675,-366,1624,-1258,17,77,95
2015-05-29,2.77,2.784,2.7245,2.728,-366,1624,-1258,17,77,95
2015-06-01,2.728,2.7425,2.71,2.72,-366,1624,-1258,17,77,95
2015-06-02,2.7155,2.745,2.714,2.736,-366,1624,-1258,17,77,95
2015-06-03,2.7375,2.749,2.72,2.7265,11579,-8744,-2835,36,59,83
2015-06-04,2.7265,2.7315,2.6765,2.687,11579,-8744,-2835,36,59,83
2015-06-05,2.6865,2.708,2.67,2.6925,11579,-8744,-2835,36,59,83
2015-06-08,2.7025,2.706,2.6825,2.6965,11579,-8744,-2835,36,59,83
