time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-23,385,391.75,385,390.25,46107,62880,-108987,57,43,56
2015-03-24,389.25,393.75,388.5,393.25,46107,62880,-108987,57,43,56
2015-03-25,392.75,395.75,391.5,395,4630,96386,-101016,47,50,67
2015-03-26,394,397,389.25,391.25,4630,96386,-101016,47,50,67
2015-03-27,391,393.5,389.25,391,4630,96386,-101016,47,50,67
2015-03-30,391.5,395,390,394.5,4630,96386,-101016,47,50,67
2015-03-31,394,398.5,375.5,376.25,4630,96386,-101016,47,50,67
2015-04-01,377,382.25,374,381.75,-2070,104374,-102304,46,52,65
2015-04-02,381.75,388.5,378.25,386.5,-2070,104374,-102304,46,52,65
2015-04-06,386.25,390,383.5,385,-2070,104374,-102304,46,52,65
2015-04-07,385,387.25,382,383,-2070,104374,-102304,46,52,65
2015-04-08,383.25,385,376.75,379.25,13228,89895,-103123,49,49,64
2015-04-09,379,380,375,378,13228,89895,-103123,49,49,64
2015-04-10,378.25,379.5,374.25,377,13228,89895,-103123,49,49,64
2015-04-13,375,376,370.25,370.5,13228,89895,-103123,49,49,64
2015-04-14,371,374.75,370,373.5,13228,89895,-103123,49,49,64
2015-04-15,372.75,379,370.5,376,47754,46025,-93779,57,39,77
2015-04-16,375.75,377.75,373,376.25,47754,46025,-93779,57,39,77
2015-04-17,376.25,380.75,375,379.75,47754,46025,-93779,57,39,77
2015-04-20,379.5,381.75,375.75,378,47754,46025,-93779,57,39,77
2015-04-21,377,377,371.25,373,47754,46025,-93779,57,39,77
2015-04-22,373,374,369.25,372.5,68716,27313,-96029,62,35,74
2015-04-23,372.5,378,370.25,370.75,68716,27313,-96029,62,35,74
2015-04-24,371,371.25,363.75,364.5,68716,27313,-96029,62,35,74
2015-04-27,363.75,365.25,360.5,360.75,68716,27313,-96029,62,35,74
2015-04-28,360.5,363.5,359,361,68716,27313,-96029,62,35,74
2015-04-29,361,364.5,359.5,363.75,94375,375,-94750,69,29,75
2015-04-30,368,370,364,366.25,94375,375,-94750,69,29,75
2015-05-01,366,366.5,360.75,363,94375,375,-94750,69,29,75
2015-05-04,362,363.5,360,361.25,94375,375,-94750,69,29,75
2015-05-05,360,363,355.75,362.75,94375,375,-94750,69,29,75
2015-05-06,363,369.5,362.75,366.75,120333,-30432,-89901,75,23,82
2015-05-07,366.5,366.75,360.5,361.5,120333,-30432,-89901,75,23,82
2015-05-08,361,364.5,359.5,363,120333,-30432,-89901,75,23,82
2015-05-11,362.75,364.5,359,360.5,120333,-30432,-89901,75,23,82
2015-05-12,359.5,365.75,357.25,361,120333,-30432,-89901,75,23,82
2015-05-13,360.25,363.75,357.25,362.25,113383,-31152,-82231,73,23,93
2015-05-14,361.75,368.5,361.25,368,113383,-31152,-82231,73,23,93
2015-05-15,367.75,371.5,362,365.5,113383,-31152,-82231,73,23,93
2015-05-18,365.25,371.25,364,368,113383,-31152,-82231,73,23,93
2015-05-19,367.25,368.5,360.25,362,113383,-31152,-82231,73,23,93
2015-05-20,362.25,362.5,358.5,360,133593,-53038,-80555,78,18,95
2015-05-21,360,366.5,359.75,365,133593,-53038,-80555,78,18,95
2015-05-22,364,367.75,359.75,360,133593,-53038,-80555,78,18,95
2015-05-26,361,362.5,354,355,133593,-53038,-80555,78,18,95
2015-05-27,355,356.5,348.75,349.5,138669,-54449,-84220,79,18,95
2015-05-28,349.5,355,348.25,353.5,138669,-54449,-84220,79,18,95
2015-05-29,353.25,357,350,351.5,138669,-54449,-84220,79,18,95
2015-06-01,350.5,354.25,348.25,352.25,138669,-54449,-84220,79,18,95
2015-06-02,352,359.5,351.75,359,138669,-54449,-84220,79,18,95
