time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1972-08-22,26.5,26.9,26.44,26.73,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-23,26.78,27.08,26.74,27.03,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-24,27.2,27.26,26.88,27.06,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-25,27.05,27.33,26.95,27.22,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-28,27.25,27.25,27.04,27.04,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-29,27.08,27.25,26.95,27.05,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-30,27.1,27.18,27.06,27.18,NaN,NaN,NaN,NaN,NaN,NaN
1972-08-31,27.19,27.2,26.98,27,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-01,26.98,27.8,26.98,27.52,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-05,27.48,27.5,27.26,27.37,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-06,27.31,27.59,27.25,27.28,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-07,27.28,27.28,27.1,27.16,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-08,27.1,27.13,26.59,26.6,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-11,26.73,26.95,26.65,26.93,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-12,26.85,26.99,26.85,26.85,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-13,26.65,26.94,26.6,26.72,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-14,26.78,26.99,26.76,26.91,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-15,26.91,26.91,26.7,26.74,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-18,26.8,27.04,26.8,27,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-19,27.18,27.27,27.07,27.21,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-20,27.22,27.26,27.12,27.17,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-21,27.26,27.61,27.26,27.6,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-22,27.68,27.74,26.98,27.05,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-25,27.02,27.25,27,27.2,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-26,27.25,27.49,27.25,27.3,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-27,27.44,27.48,27.08,27.15,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-28,27.22,27.24,27.12,27.21,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-29,27.27,27.52,27.27,27.37,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-02,27.44,27.44,27.15,27.35,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-03,27.46,27.47,27.02,27.02,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-04,27.1,27.26,26.82,26.84,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-05,26.91,26.91,26.62,26.83,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-06,26.84,27,26.84,26.9,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-10,26.91,27.19,26.87,27.02,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-11,27.05,27.15,27.05,27.13,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-12,27.15,27.18,26.99,27.05,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-13,26.95,27.08,26.86,27.05,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-16,27,27.25,26.94,27.2,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-17,27.14,27.19,26.95,27.03,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-18,27.92,27.92,27.24,27.31,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-19,27.37,27.77,27.37,27.75,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-20,27.7,27.7,27.31,27.32,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-23,27.5,27.7,27.37,27.66,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-24,27.86,28.3,27.85,28.24,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-25,28.38,28.48,28.06,28.38,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-26,28.39,28.8,28.3,28.63,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-27,28.68,28.78,28.66,28.72,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-30,28.98,29.43,28.98,29.31,NaN,NaN,NaN,NaN,NaN,NaN
1972-10-31,29.4,29.95,29.4,29.8,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-01,29.35,29.6,29.25,29.44,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-02,29.44,29.45,29.05,29.18,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-03,29.15,29.25,28.86,29.22,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-06,29.18,29.35,29.18,29.25,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-08,29.75,30.4,29.75,30.15,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-09,30.2,30.6,29.85,30.45,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-10,29.9,30.59,29.9,30.35,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-13,31.09,31.47,31.09,31.38,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-14,31.15,31.7,31.15,31.5,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-15,32.5,33.8,32.25,32.51,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-16,32.4,32.4,31.55,31.8,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-17,31.65,31.96,31.54,31.88,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-20,32.5,32.95,32.26,32.83,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-21,33,34.4,33,34.35,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-22,33.83,33.9,33.4,33.6,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-24,33.8,34.45,33.8,34.09,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-27,34.3,34.55,33.97,34.32,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-28,34.41,34.42,33.08,33.2,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-29,33.2,33.2,32.41,32.7,NaN,NaN,NaN,NaN,NaN,NaN
1972-11-30,32.5,32.51,31.83,32.25,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-01,32.49,32.49,31.85,31.85,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-04,31.79,32.35,31.78,32.25,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-05,32.5,32.92,32.4,32.7,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-06,32.95,33.08,32.65,32.8,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-07,32.75,33.23,32.6,33.15,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-08,33.35,33.78,33.3,33.6,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-11,34.37,35.45,34.23,35.41,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-12,34.7,34.9,33.72,33.8,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-13,35.5,35.5,34.5,34.75,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-14,34.6,34.7,34.45,34.53,NaN,NaN,NaN,NaN,NaN,NaN
