time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1985-11-20,127.85,129.05,127.8,128.86,NaN,NaN,NaN,NaN,NaN,NaN
1985-11-21,127.8,128.03,127.48,127.56,NaN,NaN,NaN,NaN,NaN,NaN
1985-11-22,127.52,127.68,126.58,126.63,NaN,NaN,NaN,NaN,NaN,NaN
1985-11-25,126.7,126.91,126.43,126.64,NaN,NaN,NaN,NaN,NaN,NaN
1985-11-26,126.92,126.98,125.85,126.17,NaN,NaN,NaN,NaN,NaN,NaN
1985-11-27,126.25,126.55,125.73,126.16,NaN,NaN,NaN,NaN,NaN,NaN
1985-11-29,125.25,125.46,124.93,125.18,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-02,124.8,125.8,124.69,125.58,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-03,126.28,126.55,125.91,126.04,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-04,125.5,125.66,125.32,125.44,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-05,126.08,126.17,125.45,125.52,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-06,125.83,126.3,125.69,126.08,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-09,126.3,126.77,126.21,126.52,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-10,126.87,127.22,126.78,127.03,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-11,127.65,128.18,126.95,127.09,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-12,126.51,126.75,126.08,126.58,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-13,126.25,126.75,126.11,126.75,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-16,126.7,126.83,125.91,126.08,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-17,126.05,126.27,125.64,126.23,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-18,126.6,127.2,126.6,127.13,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-19,126.95,127.05,126.45,126.62,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-20,126.7,126.94,126.26,126.44,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-23,126.5,126.62,126.05,126.25,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-24,126.3,126.32,126,126.04,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-26,126.15,126.23,125.8,126.07,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-27,125.15,125.19,124.34,124.58,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-30,124.4,124.6,123.99,124.25,NaN,NaN,NaN,NaN,NaN,NaN
1985-12-31,123.98,124.02,123.5,123.55,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-02,123.63,124.06,122.99,123.11,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-03,124.35,124.9,124.25,124.77,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-06,124.85,124.9,124.05,124.13,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-07,123.65,124.15,123.5,123.89,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-08,123.87,125.1,123.87,124.93,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-09,124.85,125.36,122.85,123.25,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-10,124.1,124.9,123.6,124.53,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-13,125.1,125.62,124.47,124.89,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-14,125.05,125.3,124.68,125.18,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-15,125,125,124.35,124.5,NaN,NaN,NaN,NaN,NaN,NaN
1986-01-16,124.25,124.98,124.22,124.83,NaN,NaN,NaN,NaN,NaN,NaN
