time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-13,17869,17903,17623,17729,-16784,16750,34,48,61,38
2015-03-16,17735,17991,17689,17933,-16784,16750,34,48,61,38
2015-03-17,17842,17877,17701,17777,-16784,16750,34,48,61,38
2015-03-18,17770,18017,17609,17989,-14008,10054,3954,56,39,60
2015-03-19,17992,18046,17847,17885,-14008,10054,3954,56,39,60
2015-03-20,17880,18117,17874,18033,-14008,10054,3954,56,39,60
2015-03-23,18032,18126,17981,18016,-14008,10054,3954,56,39,60
2015-03-24,18015,18078,17927,17949,-14008,10054,3954,56,39,60
2015-03-25,17945,17967,17628,17649,-18084,12397,5687,45,46,70
2015-03-26,17666,17679,17465,17603,-18084,12397,5687,45,46,70
2015-03-27,17612,17678,17535,17626,-18084,12397,5687,45,46,70
2015-03-30,17624,17923,17585,17860,-18084,12397,5687,45,46,70
2015-03-31,17859,17880,17666,17703,-18084,12397,5687,45,46,70
2015-04-01,17684,17728,17475,17615,-12221,6273,5948,61,26,71
2015-04-02,17633,17731,17552,17676,-12221,6273,5948,61,26,71
2015-04-06,17511,17858,17507,17805,-12221,6273,5948,61,26,71
2015-04-07,17793,17901,17774,17785,-12221,6273,5948,61,26,71
2015-04-08,17788,17898,17737,17829,-16240,9265,6975,50,36,77
2015-04-09,17843,17904,17738,17887,-16240,9265,6975,50,36,77
2015-04-10,17883,17988,17860,17973,-16240,9265,6975,50,36,77
2015-04-13,17969,18029,17891,17910,-16240,9265,6975,50,36,77
2015-04-14,17918,17997,17822,17964,-16240,9265,6975,50,36,77
2015-04-15,17973,18083,17935,18022,-24440,17241,7199,27,62,79
2015-04-16,18041,18093,17948,18041,-24440,17241,7199,27,62,79
2015-04-17,18039,18044,17666,17770,-24440,17241,7199,27,62,79
2015-04-20,17803,18016,17790,17943,-24440,17241,7199,27,62,79
2015-04-21,17924,18072,17848,17883,-24440,17241,7199,27,62,79
2015-04-22,17893,17976,17774,17945,-17745,12042,5703,45,45,70
2015-04-23,17938,18062,17824,17981,-17745,12042,5703,45,45,70
2015-04-24,17979,18037,17932,18017,-17745,12042,5703,45,45,70
2015-04-27,18029,18111,17948,17990,-17745,12042,5703,45,45,70
2015-04-28,17993,18064,17839,18058,-17745,12042,5703,45,45,70
2015-04-29,18049,18067,17875,17954,-20349,16439,3910,38,60,60
2015-04-30,17953,17979,17691,17759,-20349,16439,3910,38,60,60
2015-05-01,17780,17953,17773,17934,-20349,16439,3910,38,60,60
2015-05-04,17938,18057,17909,17995,-20349,16439,3910,38,60,60
2015-05-05,18000,18023,17825,17864,-20349,16439,3910,38,60,60
2015-05-06,17875,17974,17668,17778,-11780,7292,4488,77,29,63
2015-05-07,17780,17919,17629,17889,-11780,7292,4488,77,29,63
2015-05-08,17895,18155,17883,18121,-11780,7292,4488,77,29,63
2015-05-11,18129,18152,18025,18041,-11780,7292,4488,77,29,63
2015-05-12,18040,18071,17871,18029,-11780,7292,4488,77,29,63
2015-05-13,18042,18119,17996,18015,-19721,15091,4630,55,55,64
2015-05-14,18031,18213,17987,18202,-19721,15091,4630,55,55,64
2015-05-15,18202,18250,18177,18229,-19721,15091,4630,55,55,64
2015-05-18,18236,18291,18186,18259,-19721,15091,4630,55,55,64
2015-05-19,18269,18334,18227,18284,-19721,15091,4630,55,55,64
2015-05-20,18282,18324,18241,18256,-25985,22673,3312,31,80,56
2015-05-21,18245,18293,18197,18258,-25985,22673,3312,31,80,56
2015-05-22,18262,18295,18191,18224,-25985,22673,3312,31,80,56
2015-05-26,18230,18254,17964,18053,-25985,22673,3312,31,80,56
2015-05-27,18052,18167,18026,18141,-17409,14243,3166,63,52,56
2015-05-28,18135,18148,18052,18134,-17409,14243,3166,63,52,55
2015-05-29,18128,18146,17951,18009,-17409,14243,3166,63,52,55
2015-06-01,18020,18105,17967,18023,-17409,14243,3166,63,52,55
2015-06-02,18042,18085,17905,18001,-17409,14243,3166,63,52,55
2015-06-03,18004,18163,17997,18096,-16482,12157,4325,67,45,62
2015-06-04,18102,18102,17862,17925,-16482,12157,4325,67,49,62
2015-06-05,17924,17953,17808,17842,-16482,12157,4325,67,49,62
2015-06-08,17840,17860,17750,17768,-16482,12157,4325,67,49,62
2015-06-09,17778,17809,17693,17767,-16482,12157,4325,67,49,62
2015-06-10,17776,18038,17766,18018,-6011,-227,6238,100,5,69
2015-06-11,18010,18112,17991,18043,-6011,-227,6238,100,5,69
2015-06-12,18045,18050,17854,17903,-6011,-227,6238,100,5,69
2015-06-15,17858,17875,17693,17796,-6011,-227,6238,100,5,69
2015-06-16,17709,17838,17603,17826,-6011,-227,6238,100,5,69
2015-06-17,17835,17914,17751,17826,-15290,11952,3338,67,52,48
2015-06-18,17832,18098,17777,18044,-15290,11952,3338,67,52,48
2015-06-19,18047,18076,17907,17911,-15290,11952,3338,67,52,48
2015-06-22,17967,18102,17966,18025,-15290,11952,3338,67,52,48
2015-06-23,18044,18108,18024,18067,-15290,11952,3338,67,52,48
2015-06-24,18074,18080,17878,17883,-26745,24048,2697,26,97,43
2015-06-25,17896,17997,17797,17812,-26745,24048,2697,26,97,43
2015-06-26,17833,17924,17787,17873,-26745,24048,2697,26,97,43
2015-06-29,17689,17757,17492,17520,-26745,24048,2697,26,97,43
2015-06-30,17544,17646,17475,17523,-26745,24048,2697,26,97,43
2015-07-01,17540,17714,17532,17671,-1559,-780,2339,100,3,21
2015-07-02,17677,17737,17593,17649,-1559,-780,2339,100,3,21
2015-07-06,17412,17659,17354,17627,-1559,-780,2339,100,3,21
2015-07-07,17659,17726,17371,17680,-1559,-780,2339,100,3,21
2015-07-08,17677,17678,17404,17442,-1217,789,428,100,9,4
2015-07-09,17443,17678,17426,17452,-1217,789,428,100,9,4
2015-07-10,17479,17712,17479,17669,-1217,789,428,100,9,4
2015-07-13,17565,17903,17536,17900,-1217,789,428,100,9,4
2015-07-14,17892,17986,17865,17961,-1217,789,428,100,9,4
2015-07-15,17961,18007,17923,17992,-6643,9040,-2397,84,40,0
2015-07-16,17989,18075,17978,18020,-6643,9040,-2397,84,40,0
2015-07-17,18005,18024,17952,17997,-6643,9040,-2397,84,40,0
2015-07-20,17993,18058,17981,18003,-6643,9040,-2397,84,40,0
2015-07-21,17985,18020,17786,17866,-6643,9040,-2397,84,40,0
2015-07-22,17816,17837,17728,17785,-3366,2539,827,93,16,24
2015-07-23,17800,17833,17627,17676,-3366,2539,827,93,16,24
2015-07-24,17691,17711,17473,17523,-3366,2539,827,93,16,24
2015-07-27,17527,17547,17319,17396,-3366,2539,827,93,16,24
2015-07-28,17396,17571,17371,17546,-3366,2539,827,93,16,24
2015-07-29,17554,17697,17524,17682,4863,-6109,1246,100,0,27
2015-07-30,17666,17700,17555,17686,4863,-6109,1246,100,0,27
2015-07-31,17675,17721,17592,17614,4863,-6109,1246,100,0,27
2015-08-03,17620,17658,17415,17511,4863,-6109,1246,100,0,27
2015-08-04,17512,17557,17424,17454,4863,-6109,1246,100,0,27
2015-08-05,17396,17595,17396,17475,1551,-2581,1030,92,11,26
2015-08-06,17479,17513,17305,17375,1551,-2581,1030,92,11,26
2015-08-07,17370,17399,17221,17321,1551,-2581,1030,92,11,26
2015-08-10,17310,17573,17300,17553,1551,-2581,1030,92,11,26
2015-08-11,17548,17550,17297,17355,1551,-2581,1030,92,11,26
2015-08-12,17364,17396,17079,17367,11282,-10838,-444,100,0,15
2015-08-13,17352,17436,17291,17369,11282,-10838,-444,100,0,15
2015-08-14,17356,17449,17321,17439,11282,-10838,-444,100,0,15
2015-08-17,17439,17513,17297,17504,11282,-10838,-444,100,0,16
2015-08-18,17495,17535,17435,17482,11282,-10838,-444,100,0,16
2015-08-19,17479,17511,17248,17285,14842,-10467,-4375,100,1,0
2015-08-20,17290,17320,16908,16917,14842,-10467,-4375,100,1,0
2015-08-21,16917,16940,16429,16467,14842,-10467,-4375,100,1,0
2015-08-24,16405,16412,15285,15709,14842,-10467,-4375,100,1,0
2015-08-25,15732,16341,15613,15719,14842,-10467,-4375,100,1,0
2015-08-26,15771,16297,15541,16249,15892,-15856,-36,100,0,31
2015-08-27,16272,16661,16218,16650,15892,-15856,-36,100,0,31
2015-08-28,16646,16684,16465,16659,15892,-15856,-36,100,0,31
2015-08-31,16635,16635,16418,16508,15892,-15856,-36,100,0,31
2015-09-01,16487,16493,15959,16087,15892,-15856,-36,100,0,31
2015-09-02,16073,16347,16020,16330,17521,-11582,-5939,100,11,0
2015-09-03,16331,16536,16298,16348,17521,-11582,-5939,100,11,0
2015-09-04,16348,16367,16009,16119,17521,-11582,-5939,100,11,0
2015-09-08,16090,16491,16011,16452,17521,-11582,-5939,100,11,0
2015-09-09,16465,16688,16209,16270,8146,-2092,-6054,79,34,0
2015-09-10,16281,16453,16151,16306,8146,-2092,-6054,79,34,0
2015-09-11,16314,16451,16215,16436,8146,-2092,-6054,79,34,0
2015-09-14,16461,16530,16323,16380,8146,-2092,-6054,79,34,0
2015-09-15,16272,16541,16205,16520,8146,-2092,-6054,79,34,0
2015-09-16,16517,16672,16466,16664,11665,-3087,-8578,87,32,0
2015-09-17,16661,16837,16517,16558,11665,-3087,-8578,87,32,0
2015-09-18,16555,16604,16235,16318,11665,-3087,-8578,87,32,0
2015-09-21,16315,16476,16227,16456,11665,-3087,-8578,87,32,0
2015-09-22,16465,16470,16115,16229,11665,-3087,-8578,87,32,0
2015-09-23,16221,16322,16065,16187,11191,-4019,-7172,86,30,9
2015-09-24,16211,16243,15910,16099,11191,-4019,-7172,86,30,9
2015-09-25,16094,16372,16079,16203,11191,-4019,-7172,86,30,9
2015-09-28,16162,16289,15875,15909,11191,-4019,-7172,86,30,9
2015-09-29,15934,16014,15799,15949,11191,-4019,-7172,86,30,9
2015-09-30,15948,16195,15928,16172,4038,314,-4352,70,41,27
2015-10-01,16127,16345,15968,16190,4038,314,-4352,70,41,27
2015-10-02,16191,16385,15908,16377,4038,314,-4352,70,41,27
2015-10-05,16354,16694,16328,16659,4038,314,-4352,70,41,27
2015-10-06,16653,16760,16576,16672,4038,314,-4352,70,41,27
2015-10-07,16616,16867,16601,16814,6386,1887,-8273,75,44,2
2015-10-08,16810,16983,16680,16966,6386,1887,-8273,75,44,2
2015-10-09,16948,17026,16910,16991,6386,1887,-8273,75,44,2
2015-10-12,16972,17099,16943,17040,6386,1887,-8273,75,44,2
2015-10-13,17051,17076,16920,16973,6386,1887,-8273,75,44,2
2015-10-14,16951,17017,16793,16822,5734,3554,-9288,73,49,0
2015-10-15,16826,17072,16825,17069,5734,3554,-9288,73,49,0
2015-10-16,17062,17126,17012,17115,5734,3554,-9288,73,49,0
2015-10-19,17106,17148,17032,17117,5734,3554,-9288,73,49,0
2015-10-20,17100,17168,17046,17107,5734,3554,-9288,73,49,0
2015-10-21,17094,17223,17041,17056,8373,214,-8587,79,40,4
2015-10-22,17056,17435,17042,17408,8373,214,-8587,79,40,4
2015-10-23,17426,17597,17402,17546,8373,214,-8587,79,40,5
2015-10-26,17546,17579,17485,17531,8373,214,-8587,79,40,5
2015-10-27,17541,17555,17459,17513,8373,214,-8587,79,40,5
2015-10-28,17513,17708,17471,17702,3081,3602,-6683,67,49,17
2015-10-29,17678,17707,17603,17684,3081,3602,-6683,67,49,17
2015-10-30,17690,17769,17562,17594,3081,3602,-6683,67,49,17
2015-11-02,17598,17764,17527,17735,3081,3602,-6683,67,49,17
2015-11-03,17723,17897,17689,17841,3081,3602,-6683,67,49,17
2015-11-04,17836,17906,17756,17787,-7487,11391,-3904,44,68,35
2015-11-05,17799,17866,17710,17802,-7487,11391,-3904,44,68,35
2015-11-06,17809,17855,17704,17843,-7487,11391,-3904,44,68,35
2015-11-09,17826,17871,17610,17675,-7487,11391,-3904,44,68,35
2015-11-10,17678,17724,17608,17716,-7487,11391,-3904,44,68,35
2015-11-11,17709,17799,17643,17655,-16149,21049,-4900,24,92,28
2015-11-12,17651,17715,17391,17398,-16149,21049,-4900,24,92,28
2015-11-13,17405,17445,17153,17206,-16149,21049,-4900,24,92,28
2015-11-16,17108,17447,17052,17421,-16149,21049,-4900,24,92,28
2015-11-17,17422,17556,17400,17456,-16149,21049,-4900,24,92,28
2015-11-18,17467,17714,17412,17689,-13377,13124,253,30,73,61
2015-11-19,17687,17769,17645,17707,-13377,13124,253,30,73,61
2015-11-20,17720,17884,17699,17801,-13377,13124,253,30,73,61
2015-11-23,17801,17842,17716,17762,-13377,13124,253,30,73,61
2015-11-24,17755,17830,17623,17765,-13377,13124,253,30,73,61
2015-11-25,17764,17833,17743,17802,-14555,17756,-3201,28,84,39
2015-11-27,17811,17875,17722,17801,-14555,17756,-3201,28,84,39
2015-11-30,17801,17847,17700,17714,-14555,17756,-3201,28,84,39
2015-12-01,17758,17879,17752,17862,-14555,17756,-3201,28,84,39
2015-12-02,17865,17905,17695,17758,-15606,17209,-1603,25,83,49
2015-12-03,17769,17870,17409,17486,-15606,17209,-1603,25,83,49
2015-12-04,17503,17855,17445,17819,-15606,17209,-1603,25,83,49
2015-12-07,17849,17869,17626,17756,-15606,17209,-1603,25,83,49
2015-12-08,17751,17762,17475,17534,-15606,17209,-1603,25,83,49
2015-12-09,17542,17762,17391,17456,-14737,15481,-744,27,79,55
2015-12-10,17482,17697,17454,17566,-14737,15481,-744,27,79,55
2015-12-11,17580,17624,17220,17261,-14737,15481,-744,27,79,55
2015-12-14,17239,17398,17134,17336,-14737,15481,-744,27,79,55
2015-12-15,17285,17550,17259,17470,-14737,15481,-744,27,79,55
2015-12-16,17472,17705,17405,17654,-23786,22671,1115,7,97,67
2015-12-17,17627,17735,17341,17356,-23786,22671,1115,7,97,67
2015-12-18,17350,17392,17008,17017,-23786,22671,1115,7,97,82
2015-12-21,17043,17217,17023,17178,-23786,22671,1115,7,97,82
2015-12-22,17199,17386,17110,17357,-23786,22671,1115,7,97,82
2015-12-23,17354,17517,17327,17472,-19061,16942,2119,17,82,90
2015-12-24,17478,17515,17437,17449,-19061,16942,2119,17,82,90
2015-12-28,17453,17478,17341,17438,-19061,16942,2119,17,82,95
2015-12-29,17449,17660,17429,17638,-19061,16942,2119,17,82,95
2015-12-30,17636,17656,17495,17509,-21536,20520,1016,12,91,86
2015-12-31,17518,17536,17298,17341,-21536,20520,1016,12,91,86
2016-01-04,17347,17399,16860,17085,-21536,20520,1016,12,91,86
2016-01-05,17086,17153,16940,17081,-21536,20520,1016,5,94,89
2016-01-06,17074,17096,16723,16838,-10267,9990,277,33,67,82
2016-01-07,16858,16881,16367,16419,-10267,9990,277,33,67,82
2016-01-08,16446,16666,16209,16235,-10267,9990,277,33,67,82
2016-01-11,16260,16372,16085,16287,-10267,9990,277,33,67,84
2016-01-12,16280,16502,16168,16363,-10267,9990,277,33,67,84
2016-01-13,16350,16533,16025,16056,-10033,8696,1337,33,64,93
2016-01-14,16068,16391,15980,16281,-10033,8696,1337,33,64,93
2016-01-15,16268,16331,15748,15912,-10033,8696,1337,33,64,93
2016-01-19,15875,16188,15794,15913,-10033,8696,1337,33,64,93
2016-01-20,15888,15939,15365,15717,-3461,2635,826,49,48,89
2016-01-21,15706,15957,15562,15787,-3461,2635,826,49,48,89
2016-01-22,15755,16052,15727,16004,-3461,2635,826,49,48,89
2016-01-25,16008,16039,15790,15811,-3461,2635,826,49,48,89
2016-01-26,15810,16101,15640,16066,-3461,2635,826,49,48,89
2016-01-27,15999,16151,15789,15851,909,1195,-2104,60,44,63
2016-01-28,15861,16055,15768,15972,909,1195,-2104,60,44,63
2016-01-29,15957,16376,15937,16356,909,1195,-2104,60,44,63
2016-02-01,16367,16426,16209,16340,909,1195,-2104,60,44,63
2016-02-02,16317,16326,16020,16091,909,1195,-2104,60,44,63
2016-02-03,16075,16301,15875,16263,4020,33,-4053,67,41,46
2016-02-04,16258,16408,16127,16328,4020,33,-4053,67,41,46
2016-02-05,16309,16383,16047,16131,4020,33,-4053,67,41,46
2016-02-08,16147,16197,15729,15988,4020,33,-4053,67,41,46
2016-02-09,15965,16072,15773,15959,4020,33,-4053,67,41,46
2016-02-10,15952,16154,15827,15866,3356,-945,-2411,66,39,60
2016-02-11,15830,15863,15452,15612,3356,-945,-2411,66,39,60
2016-02-12,15625,15929,15592,15913,3356,-945,-2411,66,39,60
2016-02-16,15954,16203,15954,16131,3356,-945,-2411,66,39,60
2016-02-17,16130,16454,16075,16413,4535,-333,-4202,69,40,45
2016-02-18,16448,16515,16355,16391,4535,-333,-4202,69,40,45
2016-02-19,16393,16442,16245,16358,4535,-333,-4202,69,40,45
2016-02-22,16343,16634,16316,16539,4535,-333,-4202,69,40,45
2016-02-23,16524,16574,16372,16396,4535,-333,-4202,69,40,45
2016-02-24,16378,16505,16131,16473,2784,2525,-5309,64,48,35
2016-02-25,16497,16677,16396,16672,2784,2525,-5309,64,48,35
2016-02-26,16663,16820,16588,16601,2784,2525,-5309,64,48,35
2016-02-29,16600,16707,16477,16497,2784,2525,-5309,64,48,35
2016-03-01,16494,16856,16432,16849,2784,2525,-5309,64,48,35
2016-03-02,16840,16907,16744,16868,-1907,4201,-2294,53,52,61
2016-03-03,16858,16936,16798,16919,-1907,4201,-2294,53,52,61
2016-03-04,16926,17043,16878,16967,-1907,4201,-2294,53,52,61
2016-03-07,16972,17080,16898,17048,-1907,4201,-2294,53,52,61
2016-03-08,17053,17063,16907,16972,-1907,4201,-2294,53,52,61
2016-03-09,16984,17078,16940,17008,1731,2287,-4018,62,40,46
2016-03-10,17013,17174,16816,16994,1731,2287,-4018,62,40,46
2016-03-11,16997,17223,16984,17184,1731,2287,-4018,62,40,46
2016-03-14,17184,17279,17147,17222,1731,2287,-4018,62,40,46
2016-03-15,17128,17160,17023,17148,1731,2287,-4018,72,24,46
2016-03-16,17153,17287,17094,17236,4363,828,-5191,79,18,36
2016-03-17,17234,17428,17147,17385,4363,828,-5191,79,18,36
2016-03-18,17390,17522,17361,17492,4363,828,-5191,79,18,36
2016-03-21,17490,17552,17441,17528,4363,828,-5191,79,18,36
2016-03-22,17532,17554,17431,17504,4363,828,-5191,79,18,36
2016-03-23,17496,17519,17387,17426,-58,6872,-6814,67,41,22
2016-03-24,17423,17463,17299,17439,-58,6872,-6814,67,41,22
2016-03-28,17464,17526,17392,17448,-58,6872,-6814,67,41,22
2016-03-29,17442,17553,17333,17538,-58,6872,-6814,67,41,22
2016-03-30,17543,17694,17536,17622,-8000,12533,-4533,45,62,42
2016-03-31,17625,17659,17564,17595,-8000,12533,-4533,45,62,42
2016-04-01,17613,17713,17468,17706,-8000,12533,-4533,45,62,42
2016-04-04,17702,17753,17615,17642,-8000,12533,-4533,45,62,42
2016-04-05,17622,17629,17488,17527,-8000,12533,-4533,45,62,42
2016-04-06,17555,17639,17452,17628,-14039,17114,-3075,30,76,54
2016-04-07,17627,17645,17396,17458,-14039,17114,-3075,30,76,54
2016-04-08,17460,17609,17422,17485,-14039,17114,-3075,30,76,54
2016-04-11,17487,17647,17412,17473,-14039,17114,-3075,30,76,54
2016-04-12,17457,17656,17437,17637,-14039,17114,-3075,30,76,54
2016-04-13,17637,17831,17629,17828,-13050,16035,-2985,33,72,55
2016-04-14,17830,17880,17774,17842,-13050,16035,-2985,33,72,55
2016-04-15,17849,17869,17780,17814,-13050,16035,-2985,33,72,55
2016-04-18,17734,17935,17692,17928,-13050,16035,-2985,33,72,55
