time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-17,2066.5,2070.5,2056.25,2066.25,-300053,-52909,352962,0,4,100
2015-03-18,2066.25,2099.75,2052.25,2092.5,-296079,-93913,389992,1,0,100
2015-03-19,2093.5,2099,2076.5,2081.5,-296079,-93913,389992,1,0,100
2015-03-20,2079.5,2106.75,2077.75,2099.25,-296079,-93913,389992,1,0,100
2015-03-23,2097.75,2107,2093.25,2094.75,-296079,-93913,389992,1,0,100
2015-03-24,2094,2101,2083,2085,-296079,-93913,389992,1,0,100
2015-03-25,2085.25,2089.25,2052.25,2053.75,-48719,-44022,92741,79,19,24
2015-03-26,2056,2058.75,2033.25,2048.5,-48719,-44022,92741,79,19,24
2015-03-27,2050,2057.75,2041,2052.5,-48719,-44022,92741,79,19,24
2015-03-30,2052.75,2081.75,2047.25,2075.5,-48719,-44022,92741,79,19,24
2015-03-31,2074.75,2076.75,2056.25,2060.75,-48719,-44022,92741,79,19,24
2015-04-01,2058,2060.75,2033.5,2053,-81466,-35035,116501,69,22,30
2015-04-02,2055.25,2064.75,2044,2059.5,-81466,-35035,116501,69,22,30
2015-04-03,2060,2063.75,2038,2059.5,-81466,-35035,116501,69,22,30
2015-04-06,2039.5,2080,2038.75,2073.25,-81466,-35035,116501,69,22,30
2015-04-07,2071.5,2082.75,2066,2067.75,-81466,-35035,116501,85,22,30
2015-04-08,2068.5,2080.25,2064.5,2076,-91344,-48405,139749,81,17,36
2015-04-09,2077.75,2087,2066.75,2085.75,-91344,-48405,139749,81,17,36
2015-04-10,2086,2096.25,2083,2095.5,-91344,-48405,139749,81,17,36
2015-04-13,2095.25,2101.25,2085.25,2086.5,-91344,-48405,139749,81,17,36
2015-04-14,2087,2092.75,2075.75,2091,-91344,-48405,139749,81,17,36
2015-04-15,2091.75,2105.5,2087.25,2099.75,-73807,-50559,124366,88,16,32
2015-04-16,2101.5,2104.75,2089,2100.75,-73807,-50559,124366,88,16,32
2015-04-17,2101.25,2101.75,2064.5,2075.5,-73807,-50559,124366,88,16,32
2015-04-20,2081,2097.5,2078.5,2091,-73807,-50559,124366,88,16,32
2015-04-21,2089.5,2105.25,2087.25,2091,-73807,-50559,124366,90,16,31
2015-04-22,2092,2103.75,2080.25,2100.25,-99981,-48208,148189,80,17,37
2015-04-23,2099.25,2114.5,2087.5,2107,-99981,-48208,148189,80,17,37
2015-04-24,2107.5,2114.75,2103,2111.75,-99981,-48208,148189,80,17,37
