time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-16,1.0498,1.0632,1.0491,1.0595,233480,-181073,-52407,94,6,12
2015-03-17,1.0581,1.0663,1.0563,1.0611,233480,-181073,-52407,94,6,12
2015-03-18,1.0608,1.1011,1.0591,1.0753,247689,-193774,-53915,98,1,9
2015-03-19,1.0845,1.0931,1.0625,1.0653,247689,-193774,-53915,98,1,9
2015-03-20,1.067,1.0894,1.0668,1.0823,247689,-193774,-53915,98,1,9
2015-03-23,1.0877,1.0984,1.078,1.0954,247689,-193774,-53915,98,1,9
2015-03-24,1.0958,1.1041,1.0903,1.093,247689,-193774,-53915,98,1,9
2015-03-25,1.0934,1.1027,1.0913,1.0972,271855,-220963,-50892,100,0,14
2015-03-26,1.0983,1.1064,1.0867,1.0882,271855,-220963,-50892,100,0,14
2015-03-27,1.0888,1.0961,1.0812,1.0916,271855,-220963,-50892,100,0,14
2015-03-30,1.09,1.0907,1.0821,1.0834,271855,-220963,-50892,100,0,14
2015-03-31,1.0838,1.0857,1.0724,1.0754,271855,-220963,-50892,100,0,14
2015-04-01,1.0752,1.0811,1.0729,1.0775,274469,-226560,-47909,100,0,19
2015-04-02,1.0775,1.0916,1.076,1.0905,274469,-226560,-47909,100,0,19
2015-04-03,1.0893,1.1038,1.0873,1.1003,274469,-226560,-47909,100,0,19
2015-04-06,1.1007,1.1047,1.092,1.0987,274469,-226560,-47909,100,0,19
2015-04-07,1.0942,1.0965,1.0813,1.0839,274469,-226560,-47909,100,0,19
2015-04-08,1.0822,1.0897,1.0772,1.0808,260005,-215258,-44747,96,4,25
2015-04-09,1.0791,1.0797,1.0645,1.0648,260005,-215258,-44747,96,4,25
2015-04-10,1.0671,1.0692,1.0577,1.0613,260005,-215258,-44747,96,4,25
2015-04-13,1.0603,1.0628,1.0529,1.0578,260005,-215258,-44747,96,4,25
2015-04-14,1.0575,1.0717,1.0539,1.0668,260005,-215258,-44747,96,4,25
2015-04-15,1.0663,1.0711,1.0579,1.0693,257300,-212347,-44953,95,5,24
2015-04-16,1.0688,1.0826,1.0633,1.0806,257300,-212347,-44953,95,5,24
2015-04-17,1.0773,1.0857,1.0742,1.08,257300,-212347,-44953,95,5,24
2015-04-20,1.082,1.0827,1.072,1.0744,257300,-212347,-44953,95,5,24
2015-04-21,1.0746,1.0789,1.0667,1.0742,257300,-212347,-44953,95,5,24
2015-04-22,1.0744,1.0809,1.0716,1.0747,258225,-214645,-43580,95,4,27
2015-04-23,1.0731,1.0853,1.0672,1.0832,258225,-214645,-43580,95,4,27
2015-04-24,1.083,1.0907,1.0791,1.0875,258225,-214645,-43580,95,4,27
2015-04-27,1.0874,1.0934,1.0826,1.0887,258225,-214645,-43580,95,4,27
2015-04-28,1.0892,1.0998,1.0867,1.0985,258225,-214645,-43580,95,4,27
2015-04-29,1.0985,1.1195,1.0965,1.1118,240692,-197766,-42926,90,10,28
2015-04-30,1.1124,1.1273,1.1077,1.1266,240692,-197766,-42926,90,10,28
2015-05-01,1.1224,1.1297,1.1181,1.1198,240692,-197766,-42926,90,10,28
2015-05-04,1.1199,1.1231,1.1129,1.1145,240692,-197766,-42926,90,10,28
2015-05-05,1.1154,1.1229,1.1072,1.1201,240692,-197766,-42926,90,10,28
2015-05-06,1.1193,1.1377,1.1181,1.1357,227911,-190127,-37784,87,12,36
2015-05-07,1.1349,1.1398,1.1243,1.1274,227911,-190127,-37784,87,12,36
2015-05-08,1.1261,1.1303,1.1184,1.121,227911,-190127,-37784,87,12,36
2015-05-11,1.1206,1.1211,1.1136,1.1161,227911,-190127,-37784,87,12,36
2015-05-12,1.1157,1.1284,1.1139,1.1225,227911,-190127,-37784,87,12,36
