time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-25,0.008362,0.008414,0.008353,0.008368,85978,-45905,-40073,0,100,63
2015-03-26,0.00838,0.00846,0.008372,0.008394,85978,-45905,-40073,0,100,63
2015-03-27,0.008397,0.008418,0.008377,0.008405,85978,-45905,-40073,0,100,63
2015-03-30,0.008398,0.008403,0.008326,0.008329,85978,-45905,-40073,0,100,63
2015-03-31,0.008336,0.008358,0.008316,0.008346,85978,-45905,-40073,0,100,63
2015-04-01,0.008338,0.008383,0.008319,0.008369,62413,-23924,-38489,0,100,72
2015-04-02,0.008359,0.008379,0.008348,0.008362,62413,-23924,-38489,0,100,72
2015-04-03,0.008359,0.008431,0.008339,0.008418,62413,-23924,-38489,0,100,72
2015-04-06,0.00842,0.008425,0.008362,0.008386,62413,-23924,-38489,0,100,72
2015-04-07,0.008376,0.008379,0.008309,0.008315,62413,-23924,-38489,0,100,72
2015-04-08,0.008321,0.008365,0.008315,0.008342,63643,-24449,-39194,1,99,68
2015-04-09,0.008327,0.008349,0.008287,0.008292,63643,-24449,-39194,1,99,68
2015-04-10,0.008297,0.008336,0.008296,0.008327,63643,-24449,-39194,1,99,68
2015-04-13,0.008319,0.008362,0.00828,0.008335,63643,-24449,-39194,1,99,68
2015-04-14,0.008328,0.008405,0.008327,0.008384,63643,-24449,-39194,1,99,68
2015-04-15,0.008384,0.008424,0.008356,0.008416,56835,-23070,-33765,0,100,100
2015-04-16,0.0084,0.008423,0.008375,0.008419,56835,-23070,-33765,0,100,100
2015-04-17,0.008409,0.008439,0.00839,0.008424,56835,-23070,-33765,0,100,100
2015-04-20,0.008413,0.008442,0.008377,0.008388,56835,-23070,-33765,0,100,100
2015-04-21,0.008392,0.008395,0.008349,0.008357,56835,-23070,-33765,0,100,100
2015-04-22,0.008361,0.008385,0.00834,0.008348,50038,-14448,-35590,0,100,89
2015-04-23,0.00834,0.008378,0.00833,0.008373,50038,-14448,-35590,0,100,89
2015-04-24,0.008366,0.00842,0.008361,0.008416,50038,-14448,-35590,0,100,89
2015-04-27,0.008416,0.008424,0.008377,0.008402,50038,-14448,-35590,0,100,89
2015-04-28,0.008402,0.008423,0.008394,0.008416,50038,-14448,-35590,0,100,89
2015-04-29,0.008418,0.008435,0.008381,0.008408,32555,-5493,-27062,0,100,100
2015-04-30,0.008402,0.008446,0.008343,0.008378,32555,-5493,-27062,0,100,100
2015-05-01,0.008378,0.008378,0.008315,0.008316,32555,-5493,-27062,0,100,100
2015-05-04,0.008318,0.008337,0.008316,0.008328,32555,-5493,-27062,0,100,100
2015-05-05,0.008325,0.008356,0.008301,0.008347,32555,-5493,-27062,0,100,100
2015-05-06,0.008346,0.008393,0.008333,0.008384,66999,-31183,-35816,27,78,63
