time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2004-02-17,10710,10710,10710,10710,-262,-617,879,NaN,NaN,NaN
2004-02-18,10760,10760,10760,10760,110,-1604,1494,NaN,NaN,NaN
2004-02-19,10725,10725,10725,10725,110,-1604,1494,NaN,NaN,NaN
2004-02-20,10790,10790,10790,10790,110,-1604,1494,NaN,NaN,NaN
2004-02-23,10860,10860,10860,10860,110,-1604,1494,NaN,NaN,NaN
2004-02-24,10660,10660,10660,10660,110,-1604,1494,NaN,NaN,NaN
2004-02-25,10700,10780,10680,10740,1124,-2884,1760,NaN,NaN,NaN
2004-02-26,10820,10860,10790,10855,1124,-2884,1760,NaN,NaN,NaN
2004-02-27,11015,11170,11015,11080,1124,-2884,1760,NaN,NaN,NaN
2004-03-01,11320,11390,11290,11385,1124,-2884,1760,NaN,NaN,NaN
2004-03-02,11355,11425,11350,11380,1124,-2884,1760,NaN,NaN,NaN
2004-03-03,11400,11400,11290,11340,1848,-3539,1691,NaN,NaN,NaN
2004-03-04,11435,11495,11430,11495,1848,-3539,1691,NaN,NaN,NaN
2004-03-05,11530,11645,11460,11630,1848,-3539,1691,NaN,NaN,NaN
2004-03-08,11575,11580,11450,11450,1848,-3539,1691,NaN,NaN,NaN
2004-03-09,11480,11480,11415,11415,1848,-3539,1691,NaN,NaN,NaN
2004-03-10,11425,11425,11320,11320,1577,-3044,1467,NaN,NaN,NaN
2004-03-11,11220,11235,11055,11075,1577,-3044,1467,NaN,NaN,NaN
2004-03-12,11170,11290,11140,11280,1577,-3044,1467,NaN,NaN,NaN
2004-03-15,11240,11270,11170,11200,1577,-3044,1467,NaN,NaN,NaN
2004-03-16,11210,11235,11160,11215,1577,-3044,1467,NaN,NaN,NaN
2004-03-17,11400,11570,11400,11550,-8865,7154,1711,NaN,NaN,NaN
2004-03-18,11470,11470,11320,11430,-8865,7154,1711,NaN,NaN,NaN
2004-03-19,11400,11405,11315,11340,-8865,7154,1711,NaN,NaN,NaN
2004-03-22,11275,11275,11105,11115,-8865,7154,1711,NaN,NaN,NaN
2004-03-23,11225,11300,11175,11275,-8865,7154,1711,NaN,NaN,NaN
2004-03-24,11245,11390,11235,11390,-9677,8495,1182,NaN,NaN,NaN
2004-03-25,11515,11790,11500,11715,-9677,8495,1182,NaN,NaN,NaN
2004-03-26,11750,11880,11680,11830,-9677,8495,1182,NaN,NaN,NaN
2004-03-29,11755,11930,11755,11930,-9677,8495,1182,NaN,NaN,NaN
2004-03-30,11725,11780,11670,11760,-9677,8495,1182,NaN,NaN,NaN
2004-03-31,11745,11805,11725,11755,-8228,7325,903,NaN,NaN,NaN
2004-04-01,11730,11825,11710,11790,-8228,7325,903,NaN,NaN,NaN
2004-04-02,11860,12050,11860,12050,-8228,7325,903,NaN,NaN,NaN
2004-04-05,11980,12100,11955,12080,-8228,7325,903,NaN,NaN,NaN
2004-04-06,12060,12105,12025,12095,-8228,7325,903,NaN,NaN,NaN
2004-04-07,12005,12050,11915,12000,-5381,4744,637,NaN,NaN,NaN
2004-04-08,12130,12140,11995,12035,-5381,4744,637,NaN,NaN,NaN
2004-04-12,12060,12205,12060,12175,-5381,4744,637,NaN,NaN,NaN
2004-04-13,12180,12240,12030,12060,-4697,3692,1005,NaN,NaN,NaN
2004-04-14,12065,12105,11980,12080,-4697,3692,1005,NaN,NaN,NaN
2004-04-15,11875,11930,11730,11760,-4697,3692,1005,NaN,NaN,NaN
2004-04-16,11865,11940,11795,11940,-4697,3692,1005,NaN,NaN,NaN
2004-04-19,11745,11800,11725,11775,-4697,3692,1005,NaN,NaN,NaN
2004-04-20,11980,12040,11855,11880,-4697,3692,1005,NaN,NaN,NaN
2004-04-21,11875,12050,11875,12030,-2214,1224,990,NaN,NaN,NaN
2004-04-22,12010,12190,11940,12160,-2214,1224,990,NaN,NaN,NaN
2004-04-23,12110,12150,12100,12145,-2214,1224,990,NaN,NaN,NaN
2004-04-26,12175,12200,12130,12130,-2214,1224,990,NaN,NaN,NaN
2004-04-27,12150,12150,12055,12060,-2214,1224,990,NaN,NaN,NaN
2004-04-28,12000,12000,11735,11735,-932,-275,1207,NaN,NaN,NaN
2004-04-29,11785,11835,11630,11635,-932,-275,1207,NaN,NaN,NaN
2004-04-30,11650,11735,11540,11565,-932,-275,1207,NaN,NaN,NaN
2004-05-03,11565,11630,11520,11540,-932,-275,1207,NaN,NaN,NaN
2004-05-04,11610,11725,11600,11630,-932,-275,1207,NaN,NaN,NaN
2004-05-05,11650,11770,11615,11770,-5317,3850,1467,NaN,NaN,NaN
2004-05-06,11560,11570,11425,11515,-5317,3850,1467,NaN,NaN,NaN
2004-05-07,11470,11535,11370,11390,-5317,3850,1467,NaN,NaN,NaN
2004-05-10,10880,10920,10770,10815,-5317,3850,1467,NaN,NaN,NaN
2004-05-11,10840,10995,10840,10960,-5317,3850,1467,NaN,NaN,NaN
2004-05-12,10970,11075,10870,11075,-3341,1748,1593,NaN,NaN,NaN
2004-05-13,10860,10925,10820,10830,-3341,1748,1593,NaN,NaN,NaN
2004-05-14,10855,10860,10740,10770,-3341,1748,1593,NaN,NaN,NaN
2004-05-17,10430,10530,10415,10510,-3341,1748,1593,NaN,NaN,NaN
2004-05-18,10675,10735,10655,10705,-3341,1748,1593,NaN,NaN,NaN
2004-05-19,10960,11035,10875,10880,-2650,749,1901,NaN,NaN,NaN
2004-05-20,10860,10925,10785,10870,-2650,749,1901,NaN,NaN,NaN
2004-05-21,11005,11055,10960,11020,-2650,749,1901,NaN,NaN,NaN
2004-05-24,11140,11190,11015,11030,-2650,749,1901,NaN,NaN,NaN
2004-05-25,10970,11200,10920,11180,-2650,749,1901,NaN,NaN,NaN
2004-05-26,11150,11200,11130,11160,-865,-354,1219,NaN,NaN,NaN
