time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-25,4429.25,4438.5,4320,4323.5,-75164,60848,14316,20,78,60
2015-03-26,4327,4331,4270,4310.75,-75164,60848,14316,20,78,60
2015-03-27,4313,4333.5,4297.25,4325.75,-75164,60848,14316,20,78,60
2015-03-30,4327.5,4381.75,4315.75,4372.5,-75164,60848,14316,20,78,60
2015-03-31,4370,4375.75,4320.75,4329.5,-75164,60848,14316,20,78,60
2015-04-01,4321.75,4334.25,4259,4313,-63832,52301,11531,50,62,51
2015-04-02,4316.75,4321,4288.5,4307.25,-63832,52301,11531,50,62,51
2015-04-03,4306.75,4313.75,4262,4307.25,-63832,52301,11531,50,62,51
2015-04-06,4265,4354.75,4264.5,4342.25,-63832,52301,11531,50,62,51
2015-04-07,4339.75,4372.25,4330.25,4334,-63832,52301,11531,50,62,51
2015-04-08,4335.25,4379.25,4327.5,4374.75,-71373,59276,12097,30,75,53
2015-04-09,4378,4401.25,4352.75,4399.25,-71373,59276,12097,30,75,53
2015-04-10,4399,4416,4385.75,4414.75,-71373,59276,12097,30,75,53
2015-04-13,4415,4441.5,4399.5,4403.25,-71373,59276,12097,30,75,53
2015-04-14,4405.5,4414.5,4366.75,4397.75,-71373,59276,12097,30,75,53
2015-04-15,4400.25,4429,4388.75,4421.75,-76828,68088,8740,16,92,43
2015-04-16,4426.25,4429.5,4398,4415.25,-76828,68088,8740,16,92,43
2015-04-17,4416.25,4417.5,4324,4349,-76828,68088,8740,16,92,43
2015-04-20,4356.75,4417,4352.25,4407.5,-76828,68088,8740,16,92,43
2015-04-21,4402.75,4442.75,4402.75,4428.5,-76828,68088,8740,16,92,43
2015-04-22,4433,4459.5,4398.5,4445.25,-81322,70156,11166,4,96,50
2015-04-23,4438.5,4497.25,4418,4481.5,-81322,70156,11166,4,96,50
2015-04-24,4492.5,4536.25,4489.5,4529.25,-81322,70156,11166,4,96,50
2015-04-27,4533,4555.5,4509.25,4524.75,-81322,70156,11166,4,96,50
2015-04-28,4524.25,4531.25,4471.75,4516,-81322,70156,11166,4,96,50
2015-04-29,4512.25,4514,4456.25,4479.75,-95622,88381,7241,0,100,38
2015-04-30,4474,4478.25,4386.5,4408.25,-95622,88381,7241,0,100,38
2015-05-01,4414,4470.75,4409.75,4467.75,-95622,88381,7241,0,100,38
2015-05-04,4471.75,4503.5,4457,4476.5,-95622,88381,7241,0,100,38
2015-05-05,4474,4480.25,4399.5,4407.5,-95622,88381,7241,0,100,38
2015-05-06,4409,4423.5,4341.5,4373,-64350,66873,-2523,61,69,8
2015-05-07,4371.5,4409.25,4332.5,4402.5,-64350,66873,-2523,61,69,8
2015-05-08,4404,4462.75,4401,4448.75,-64350,66873,-2523,61,69,8
2015-05-11,4452.5,4464.5,4426.75,4431.25,-64350,66873,-2523,61,69,8
2015-05-12,4431.5,4438,4374.5,4420.75,-64350,66873,-2523,61,69,8
2015-05-13,4423,4457.75,4417.5,4423.75,-53584,46265,7319,83,39,38
2015-05-14,4425.75,4493,4412.75,4490.25,-53584,46265,7319,83,39,38
2015-05-15,4489,4507.5,4477.75,4488.75,-53584,46265,7319,83,39,38
2015-05-18,4491.25,4517.75,4470.5,4507.25,-53584,46265,7319,83,39,38
