time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2017-07-10,1416.4,1419.3,1403.7,1408.7,69439,-62895,-6544,NaN,NaN,NaN
2017-07-11,1408.6,1414.1,1400,1413.1,69439,-62895,-6544,NaN,NaN,NaN
2017-07-12,1413.5,1432.8,1411.6,1422.6,69439,-62895,-6544,NaN,NaN,NaN
2017-07-13,1422.8,1426,1413.8,1425.8,69439,-62895,-6544,NaN,NaN,NaN
2017-07-14,1425.7,1433.3,1420.8,1428.6,69439,-62895,-6544,NaN,NaN,NaN
2017-07-17,1429.1,1434.6,1422.4,1430.9,69439,-62895,-6544,NaN,NaN,NaN
2017-07-18,1428.9,1431.8,1420.3,1426.8,69439,-62895,-6544,NaN,NaN,NaN
2017-07-19,1426.7,1443,1425.1,1442.2,69439,-62895,-6544,NaN,NaN,NaN
2017-07-20,1440.7,1445.5,1438.5,1441.9,69439,-62895,-6544,NaN,NaN,NaN
2017-07-21,1442.1,1444.5,1432.3,1435.4,69439,-62895,-6544,NaN,NaN,NaN
2017-07-24,1434.9,1438,1427.9,1436.4,69439,-62895,-6544,NaN,NaN,NaN
2017-07-25,1435.5,1452.3,1435.5,1450.1,69439,-62895,-6544,NaN,NaN,NaN
2017-07-26,1450.7,1452.2,1439.8,1441.3,69439,-62895,-6544,NaN,NaN,NaN
2017-07-27,1443.1,1447,1424.7,1431.2,69439,-62895,-6544,NaN,NaN,NaN
2017-07-28,1431.7,1432.9,1424.1,1430,69439,-62895,-6544,NaN,NaN,NaN
2017-07-31,1429.4,1433.4,1419.1,1424.7,69439,-62895,-6544,NaN,NaN,NaN
2017-08-01,1428.9,1432.1,1419.1,1428,69439,-62895,-6544,NaN,NaN,NaN
2017-08-02,1427.4,1429.3,1406.3,1411.9,69439,-62895,-6544,NaN,NaN,NaN
2017-08-03,1411.2,1414.3,1400.5,1405,69439,-62895,-6544,NaN,NaN,NaN
2017-08-04,1405.5,1412.1,1403.2,1411.2,69439,-62895,-6544,NaN,NaN,NaN
2017-08-07,1411.6,1417.7,1406.2,1413.9,69439,-62895,-6544,NaN,NaN,NaN
2017-08-08,1413.2,1426.8,1405.8,1409.4,69439,-62895,-6544,NaN,NaN,NaN
2017-08-09,1408.4,1409.5,1391.4,1397.2,69439,-62895,-6544,NaN,NaN,NaN
2017-08-10,1398.6,1398.8,1366.6,1370.1,69439,-62895,-6544,NaN,NaN,NaN
2017-08-11,1367.8,1375.8,1364.1,1372.3,69439,-62895,-6544,NaN,NaN,NaN
2017-08-14,1371.9,1395,1371.9,1393.4,69439,-62895,-6544,NaN,NaN,NaN
2017-08-15,1394.3,1400.3,1381.4,1381.7,69439,-62895,-6544,NaN,NaN,NaN
2017-08-16,1382.2,1392.1,1380.1,1382.6,2934,-2266,-668,NaN,NaN,NaN
2017-08-17,1381,1385.2,1351.5,1354.5,2934,-2266,-668,NaN,NaN,NaN
2017-08-18,1352.7,1362,1348.7,1357.1,2934,-2266,-668,NaN,NaN,NaN
2017-08-21,1358.6,1360.9,1348.8,1355.4,2934,-2266,-668,NaN,NaN,NaN
2017-08-22,1355.5,1372.2,1355.5,1370.8,2934,-2266,-668,NaN,NaN,NaN
2017-08-23,1369.2,1373.3,1359.4,1367.2,1292,-833,-459,NaN,NaN,NaN
2017-08-24,1366,1377.1,1363.8,1373.4,1292,-833,-459,NaN,NaN,NaN
2017-08-25,1374.2,1380.7,1369.9,1375.6,1292,-833,-459,NaN,NaN,NaN
2017-08-28,1375.6,1383.8,1372.4,1381.8,1292,-833,-459,NaN,NaN,NaN
2017-08-29,1375.4,1386,1368.5,1382.7,1292,-833,-459,NaN,NaN,NaN
2017-08-30,1383.5,1392.8,1378.9,1390.8,-458,79,379,NaN,NaN,NaN
2017-08-31,1389.7,1407.2,1389.3,1405,-458,79,379,NaN,NaN,NaN
2017-09-01,1403.5,1414.5,1403.5,1411.7,-458,79,379,NaN,NaN,NaN
2017-09-05,1404.5,1419.9,1393.5,1401.2,-458,79,379,NaN,NaN,NaN
2017-09-06,1400,1407.8,1397.9,1401.6,1436,-1504,68,NaN,NaN,NaN
2017-09-07,1400,1404.6,1393.3,1398.5,1436,-1504,68,NaN,NaN,NaN
2017-09-08,1398.6,1405.8,1393.4,1403.5,1436,-1504,68,NaN,NaN,NaN
2017-09-11,1401.5,1417.2,1401.5,1416.6,1436,-1504,68,NaN,NaN,NaN
2017-09-12,1415.8,1424.8,1415.7,1423.6,1436,-1504,68,NaN,NaN,NaN
2017-09-13,1423.2,1429.3,1419.7,1426.4,-43561,38318,5243,NaN,NaN,NaN
2017-09-14,1426.2,1428.5,1421.1,1426.6,-43561,38318,5243,NaN,NaN,NaN
2017-09-15,1425.5,1434,1420.5,1432.5,-43561,38318,5243,NaN,NaN,NaN
2017-09-18,1432.7,1445.2,1431.6,1442.2,-43561,38318,5243,NaN,NaN,NaN
2017-09-19,1441.1,1444.5,1437.8,1441.6,-43561,38318,5243,NaN,NaN,NaN
2017-09-20,1440.7,1447.9,1439.6,1447.1,32623,-38771,6148,NaN,NaN,NaN
2017-09-21,1446.4,1449.8,1441.9,1445.4,32623,-38771,6148,NaN,NaN,NaN
