time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1976-05-14,4.538,4.538,4.538,4.538,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-17,4.455,4.455,4.455,4.455,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-18,4.42,4.42,4.42,4.42,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-19,4.405,4.405,4.405,4.405,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-20,4.487,4.487,4.487,4.487,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-21,4.455,4.455,4.455,4.455,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-24,4.557,4.557,4.557,4.557,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-25,4.533,4.533,4.533,4.533,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-26,4.665,4.665,4.665,4.665,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-27,4.69,4.69,4.69,4.69,NaN,NaN,NaN,NaN,NaN,NaN
1976-05-28,4.71,4.71,4.71,4.71,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-01,4.72,4.72,4.72,4.72,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-02,4.7,4.7,4.7,4.7,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-03,4.72,4.72,4.72,4.72,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-04,4.675,4.675,4.675,4.675,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-07,4.82,4.82,4.82,4.82,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-08,4.785,4.785,4.785,4.785,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-09,4.855,4.855,4.855,4.855,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-10,4.92,4.92,4.92,4.92,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-11,4.96,4.96,4.96,4.96,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-14,4.94,4.94,4.94,4.94,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-15,4.837,4.837,4.837,4.837,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-16,4.832,4.832,4.832,4.832,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-17,4.868,4.868,4.868,4.868,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-18,4.865,4.865,4.865,4.865,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-21,4.873,4.873,4.873,4.873,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-22,4.915,4.915,4.915,4.915,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-23,4.77,4.77,4.77,4.77,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-24,4.81,4.81,4.81,4.81,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-25,4.735,4.735,4.735,4.735,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-28,4.707,4.707,4.707,4.707,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-29,4.862,4.862,4.862,4.862,NaN,NaN,NaN,NaN,NaN,NaN
1976-06-30,4.89,4.89,4.89,4.89,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-01,5.054,5.054,5.054,5.054,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-02,5.06,5.06,5.06,5.06,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-06,5.188,5.188,5.188,5.188,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-07,5.064,5.064,5.064,5.064,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-08,5.143,5.143,5.143,5.143,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-09,5.09,5.09,5.09,5.09,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-12,4.905,4.905,4.905,4.905,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-13,4.92,4.92,4.92,4.92,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-14,5.036,5.036,5.036,5.036,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-15,4.875,4.875,4.875,4.875,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-16,4.804,4.804,4.804,4.804,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-19,4.604,4.604,4.604,4.604,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-20,4.505,4.505,4.505,4.505,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-21,4.57,4.57,4.57,4.57,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-22,4.486,4.486,4.486,4.486,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-23,4.607,4.607,4.607,4.607,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-26,4.547,4.547,4.547,4.547,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-27,4.605,4.605,4.605,4.605,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-28,4.582,4.582,4.582,4.582,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-29,4.541,4.541,4.541,4.541,NaN,NaN,NaN,NaN,NaN,NaN
1976-07-30,4.512,4.512,4.512,4.512,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-02,4.337,4.337,4.337,4.337,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-03,4.283,4.283,4.283,4.283,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-04,4.38,4.38,4.38,4.38,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-05,4.225,4.225,4.225,4.225,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-06,4.235,4.235,4.235,4.235,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-09,4.145,4.145,4.145,4.145,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-10,4.27,4.27,4.27,4.27,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-11,4.325,4.325,4.325,4.325,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-12,4.352,4.352,4.352,4.352,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-13,4.36,4.36,4.36,4.36,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-16,4.33,4.33,4.33,4.33,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-17,4.239,4.239,4.239,4.239,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-18,4.23,4.23,4.23,4.23,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-19,4.349,4.349,4.349,4.349,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-20,4.262,4.262,4.262,4.262,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-23,4.185,4.185,4.185,4.185,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-24,4.07,4.07,4.07,4.07,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-25,4.107,4.107,4.107,4.107,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-26,4.177,4.177,4.177,4.177,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-27,4.105,4.105,4.105,4.105,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-30,4.172,4.172,4.172,4.172,NaN,NaN,NaN,NaN,NaN,NaN
1976-08-31,4.14,4.14,4.14,4.14,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-01,4.234,4.234,4.234,4.234,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-02,4.355,4.355,4.355,4.355,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-03,4.325,4.325,4.325,4.325,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-07,4.47,4.47,4.47,4.47,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-08,4.343,4.343,4.343,4.343,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-09,4.325,4.325,4.325,4.325,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-10,4.205,4.205,4.205,4.205,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-13,4.228,4.228,4.228,4.228,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-14,4.21,4.21,4.21,4.21,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-15,4.265,4.265,4.265,4.265,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-16,4.26,4.26,4.26,4.26,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-17,4.295,4.295,4.295,4.295,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-20,4.245,4.245,4.245,4.245,NaN,NaN,NaN,NaN,NaN,NaN
1976-09-21,4.38,4.38,4.38,4.38,NaN,NaN,NaN,NaN,NaN,NaN
