time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
1971-10-04,4.83,4.91,4.83,4.83,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-05,4.81,4.81,4.6,4.6,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-06,4.9,4.95,4.9,4.91,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-07,4.96,5.01,4.94,4.94,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-08,4.95,4.95,4.91,4.92,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-12,4.97,4.99,4.97,4.98,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-13,5.05,5.05,5.05,5.05,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-14,5,5,4.94,4.94,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-15,4.9,4.9,4.9,4.9,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-18,4.89,4.89,4.89,4.89,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-19,4.9,4.9,4.9,4.9,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-20,4.94,4.94,4.94,4.94,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-21,5,5.08,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-22,5.04,5.07,5.04,5.04,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-26,4.95,4.99,4.95,4.95,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-27,5.01,5.06,5.01,5.06,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-28,5.04,5.04,5.01,5.02,NaN,NaN,NaN,NaN,NaN,NaN
1971-10-29,4.97,4.97,4.97,4.97,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-01,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-03,5,5.03,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-04,5.04,5.04,5.04,5.04,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-05,4.94,4.94,4.94,4.94,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-08,4.93,4.93,4.93,4.93,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-09,4.99,4.99,4.99,4.99,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-10,4.96,4.96,4.96,4.96,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-11,4.94,4.94,4.94,4.94,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-12,4.96,4.96,4.96,4.96,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-15,4.92,4.92,4.9,4.91,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-16,5.01,5.01,5.01,5.01,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-17,5.03,5.03,5.03,5.03,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-18,5.02,5.02,5.02,5.02,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-19,4.99,4.99,4.99,4.99,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-22,5.04,5.09,5.04,5.09,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-23,5.08,5.08,5.08,5.08,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-24,5.15,5.18,5.15,5.15,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-26,5.2,5.2,5.17,5.18,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-29,5.2,5.25,5.2,5.2,NaN,NaN,NaN,NaN,NaN,NaN
1971-11-30,5.23,5.25,5.21,5.23,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-01,5.27,5.28,5.27,5.27,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-02,5.21,5.23,5.19,5.19,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-03,5.21,5.39,5.21,5.39,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-06,5.21,5.21,5.2,5.2,NaN,NaN,NaN,NaN,NaN,NaN
