time,open,high,low,close,Commercials,Large Speculators,Small Speculators,Commercials Index,Large Speculators Index,Small Speculators Index
2015-03-02,539.5,547.75,525.25,525.75,14708,-9135,-5573,NaN,NaN,NaN
2015-03-03,528,536.5,522,535.25,14708,-9135,-5573,NaN,NaN,NaN
2015-03-04,535,535.25,525.5,527.25,20309,-13533,-6776,NaN,NaN,NaN
2015-03-05,527.5,529.25,516.25,517,20309,-13533,-6776,NaN,NaN,NaN
2015-03-06,518.25,525.25,516.5,522.25,20309,-13533,-6776,NaN,NaN,NaN
2015-03-09,522.75,535,522.75,530.5,20309,-13533,-6776,NaN,NaN,NaN
2015-03-10,530.75,539.25,522.5,536,20309,-13533,-6776,NaN,NaN,NaN
2015-03-11,536.75,543.75,536.5,540.75,20366,-12627,-7739,NaN,NaN,NaN
2015-03-12,540,553,538.25,546.5,20366,-12627,-7739,NaN,NaN,NaN
2015-03-13,547,553,537.5,539.25,20366,-12627,-7739,NaN,NaN,NaN
2015-03-16,540,557.5,534,555,20366,-12627,-7739,NaN,NaN,NaN
2015-03-17,556.5,559.5,541.75,542.75,20366,-12627,-7739,NaN,NaN,NaN
2015-03-18,541.75,555,540,553,18467,-12799,-5668,NaN,NaN,NaN
2015-03-19,557,562.5,546.25,550.25,18467,-12799,-5668,NaN,NaN,NaN
2015-03-20,549.25,570.25,548.5,569.5,18467,-12799,-5668,NaN,NaN,NaN
2015-03-23,571.5,579.25,571.5,574.5,18467,-12799,-5668,NaN,NaN,NaN
2015-03-24,572,573.25,561.5,565.25,18467,-12799,-5668,NaN,NaN,NaN
2015-03-25,565,570,560.25,563,16562,-9497,-7065,NaN,NaN,NaN
2015-03-26,561.75,566.75,541.5,543,16562,-9497,-7065,NaN,NaN,NaN
2015-03-27,542.5,554.25,542.5,553,16562,-9497,-7065,NaN,NaN,NaN
2015-03-30,556.75,576.75,555.25,576.25,16562,-9497,-7065,NaN,NaN,NaN
2015-03-31,576.5,578.25,558,559.25,16562,-9497,-7065,NaN,NaN,NaN
2015-04-01,560.75,574.5,549.75,572,13363,-8083,-5280,NaN,NaN,NaN
2015-04-02,571.75,587.75,564.75,582.75,13363,-8083,-5280,NaN,NaN,NaN
2015-04-06,583.5,589.5,570.75,572,13363,-8083,-5280,NaN,NaN,NaN
2015-04-07,570.75,574.75,559.5,565.25,13363,-8083,-5280,NaN,NaN,NaN
2015-04-08,566.75,570,555.75,561.25,10014,-4540,-5474,NaN,NaN,NaN
2015-04-09,561,562.25,543.25,551.5,10014,-4540,-5474,NaN,NaN,NaN
2015-04-10,551.5,560.25,548.5,558.75,10014,-4540,-5474,NaN,NaN,NaN
2015-04-13,546,551.75,527,529,10014,-4540,-5474,NaN,NaN,NaN
2015-04-14,530,531.75,520,521.75,10014,-4540,-5474,NaN,NaN,NaN
2015-04-15,523,527.75,513.5,514.5,16669,-12091,-4578,NaN,NaN,NaN
2015-04-16,514.5,517.75,505.5,508.25,16669,-12091,-4578,NaN,NaN,NaN
2015-04-17,513.75,519.25,511.75,514.75,16669,-12091,-4578,NaN,NaN,NaN
2015-04-20,515,518.75,512.25,518,16669,-12091,-4578,NaN,NaN,NaN
2015-04-21,519,524.5,514,519,16669,-12091,-4578,NaN,NaN,NaN
2015-04-22,519,521.5,513,517.25,22746,-19978,-2768,NaN,NaN,NaN
2015-04-23,518,527.75,518,522,22746,-19978,-2768,NaN,NaN,NaN
2015-04-24,522.5,523,506.25,507.5,22746,-19978,-2768,NaN,NaN,NaN
2015-04-27,509,511.25,495.25,496,22746,-19978,-2768,NaN,NaN,NaN
2015-04-28,498.5,505.5,489.5,503,22746,-19978,-2768,NaN,NaN,NaN
2015-04-29,503.25,510.5,499,509.5,28056,-24741,-3315,NaN,NaN,NaN
2015-04-30,510.25,514.5,497.75,499,28056,-24741,-3315,NaN,NaN,NaN
2015-05-01,500.75,505,495.5,500.5,28056,-24741,-3315,NaN,NaN,NaN
2015-05-04,496.25,500.75,492.5,498.25,28056,-24741,-3315,NaN,NaN,NaN
2015-05-05,496.75,498,485.5,490.25,28056,-24741,-3315,NaN,NaN,NaN
2015-05-06,491,505.25,491,503.5,30527,-26969,-3558,NaN,NaN,NaN
2015-05-07,504.75,510,495.25,499.75,30527,-26969,-3558,NaN,NaN,NaN
2015-05-08,498.75,509.25,498.75,508.5,30527,-26969,-3558,NaN,NaN,NaN
2015-05-11,509.5,510.5,503.25,508.75,30527,-26969,-3558,NaN,NaN,NaN
2015-05-12,509,518.75,505.25,507.75,30527,-26969,-3558,NaN,NaN,NaN
2015-05-13,505.5,512.25,497.5,509.5,28909,-25834,-3075,NaN,NaN,NaN
2015-05-14,509,544.25,509,543.25,28909,-25834,-3075,NaN,NaN,NaN
2015-05-15,543.5,549.5,537.25,541.75,28909,-25834,-3075,NaN,NaN,NaN
2015-05-18,541.25,563.75,540,555,28909,-25834,-3075,NaN,NaN,NaN
2015-05-19,554,558.5,535,540,28909,-25834,-3075,NaN,NaN,NaN
2015-05-20,539.5,550,533,545,22738,-16747,-5991,NaN,NaN,NaN
2015-05-21,545,564.5,544,557.75,22738,-16747,-5991,NaN,NaN,NaN
2015-05-22,557,564,545,546.5,22738,-16747,-5991,NaN,NaN,NaN
2015-05-26,548.5,552.75,523,524.5,22738,-16747,-5991,NaN,NaN,NaN
2015-05-27,526.5,526.5,509,512,16016,-9601,-6415,NaN,NaN,NaN
2015-05-28,513,518.5,505.5,510.25,16016,-9601,-6415,NaN,NaN,NaN
2015-05-29,509.5,511.75,495.75,498.75,16016,-9601,-6415,NaN,NaN,NaN
2015-06-01,499.75,516.75,496.5,514.25,16016,-9601,-6415,NaN,NaN,NaN
2015-06-02,515.25,536.75,513,535.5,16016,-9601,-6415,NaN,NaN,NaN
2015-06-03,536.25,548,527.5,529.25,19668,-13642,-6026,NaN,NaN,NaN
2015-06-04,528.5,541.75,524,541.25,19668,-13642,-6026,NaN,NaN,NaN
2015-06-05,541,553.75,534.5,535.25,19668,-13642,-6026,NaN,NaN,NaN
2015-06-08,535,550.5,534.75,544.5,19668,-13642,-6026,NaN,NaN,NaN
2015-06-09,543.75,554,541.75,548.25,19668,-13642,-6026,NaN,NaN,NaN
2015-06-10,548,553.5,529.25,530.5,16304,-10307,-5997,NaN,NaN,NaN
2015-06-11,532,534,522.25,523.25,16304,-10307,-5997,NaN,NaN,NaN
2015-06-12,522.5,531,521.5,526,16304,-10307,-5997,NaN,NaN,NaN
2015-06-15,526.75,526.75,506.5,508.75,16304,-10307,-5997,NaN,NaN,NaN
2015-06-16,509.25,515,505.25,506.5,16304,-10307,-5997,NaN,NaN,NaN
2015-06-17,516,526,514.25,514.75,16987,-11347,-5640,NaN,NaN,NaN
2015-06-18,515,520.25,507,507.75,16987,-11347,-5640,NaN,NaN,NaN
2015-06-19,507,515,505.75,513,16987,-11347,-5640,NaN,NaN,NaN
2015-06-22,512.75,525,512,521,16987,-11347,-5640,NaN,NaN,NaN
2015-06-23,521.5,540.5,521.5,539.75,16987,-11347,-5640,NaN,NaN,NaN
2015-06-24,540,544.5,532,533,20609,-17045,-3564,NaN,NaN,NaN
2015-06-25,533,544.5,528,543.5,20609,-17045,-3564,NaN,NaN,NaN
2015-06-26,543.5,572,541.75,569,20609,-17045,-3564,NaN,NaN,NaN
2015-06-29,564.75,588.75,563.5,581.5,20609,-17045,-3564,NaN,NaN,NaN
2015-06-30,580.75,611.5,576,610.25,20609,-17045,-3564,NaN,NaN,NaN
2015-07-01,608,609.5,579.75,592.5,7183,1041,-8224,NaN,NaN,NaN
2015-07-02,591,603,579.25,591.75,7183,1041,-8224,NaN,NaN,NaN
2015-07-06,587.5,600,572.75,592.5,7183,1041,-8224,NaN,NaN,NaN
2015-07-07,590,591.75,577.75,586.25,7183,1041,-8224,NaN,NaN,NaN
2015-07-08,584.75,593,575,583,-498,9200,-8702,NaN,NaN,NaN
2015-07-09,582,589,577.75,579.25,-498,9200,-8702,NaN,NaN,NaN
2015-07-10,578,586.25,566.75,572.25,-498,9200,-8702,NaN,NaN,NaN
2015-07-13,569.75,571.75,561.75,567.25,-498,9200,-8702,NaN,NaN,NaN
2015-07-14,567.25,573,558.25,561.25,-498,9200,-8702,NaN,NaN,NaN
2015-07-15,559,561,550.75,559,-5009,13350,-8341,NaN,NaN,NaN
2015-07-16,559,565,553,553.25,-5009,13350,-8341,NaN,NaN,NaN
2015-07-17,552.75,553,537.75,546.5,-5009,13350,-8341,NaN,NaN,NaN
2015-07-20,546,546,524.25,525.5,-5009,13350,-8341,NaN,NaN,NaN
2015-07-21,525.5,532,516.75,518,-5009,13350,-8341,NaN,NaN,NaN
2015-07-22,517,524.25,511,512.25,-411,8922,-8511,NaN,NaN,NaN
2015-07-23,512,521.25,510.75,517,-411,8922,-8511,NaN,NaN,NaN
2015-07-24,516.25,517.5,506,507.25,-411,8922,-8511,NaN,NaN,NaN
2015-07-27,506.25,508,498.25,499.25,-411,8922,-8511,NaN,NaN,NaN
2015-07-28,498.75,507,498.25,504.75,-411,8922,-8511,NaN,NaN,NaN
2015-07-29,505,505.75,492.5,495.25,5085,186,-5271,NaN,NaN,NaN
2015-07-30,494.25,501.5,490.25,491,5085,186,-5271,NaN,NaN,NaN
2015-07-31,491,497.75,490,492.25,5085,186,-5271,NaN,NaN,NaN
2015-08-03,490.5,491.5,481.5,489,5085,186,-5271,NaN,NaN,NaN
2015-08-04,489,495.75,482.75,485,5085,186,-5271,NaN,NaN,NaN
2015-08-05,485,494.75,483.25,489.5,10973,-5279,-5694,NaN,NaN,NaN
2015-08-06,488.5,495.5,485,489.5,10973,-5279,-5694,NaN,NaN,NaN
2015-08-07,489.5,495.75,487,493,10973,-5279,-5694,NaN,NaN,NaN
2015-08-10,494,511.25,492.75,504.5,10973,-5279,-5694,NaN,NaN,NaN
2015-08-11,501.5,503.5,484,488,10973,-5279,-5694,NaN,NaN,NaN
2015-08-12,488,493,469.25,475.25,12841,-8467,-4374,NaN,NaN,NaN
2015-08-13,476,487,475.25,485.25,12841,-8467,-4374,NaN,NaN,NaN
2015-08-14,485.25,494.75,481.75,489.75,12841,-8467,-4374,NaN,NaN,NaN
2015-08-17,488.75,491,480.5,482.25,12841,-8467,-4374,NaN,NaN,NaN
2015-08-18,501.5,503.5,493.5,495.5,12841,-8467,-4374,NaN,NaN,NaN
2015-08-19,495.5,498.25,489.25,493.75,9216,-5630,-3586,NaN,NaN,NaN
2015-08-20,493,504.75,491.5,501.25,9216,-5630,-3586,NaN,NaN,NaN
2015-08-21,499.5,501.75,488.25,492.75,9216,-5630,-3586,NaN,NaN,NaN
2015-08-24,493.5,499.5,483.25,497.5,9216,-5630,-3586,NaN,NaN,NaN
2015-08-25,500.5,505,485.75,489,9216,-5630,-3586,NaN,NaN,NaN
2015-08-26,491.5,494.5,484.5,489.25,12258,-8488,-3770,NaN,NaN,NaN
2015-08-27,489.5,497.25,486,488.25,12258,-8488,-3770,NaN,NaN,NaN
2015-08-28,488,491.25,481.5,483.5,12258,-8488,-3770,NaN,NaN,NaN
2015-08-31,483,489.25,478.25,487.75,12258,-8488,-3770,NaN,NaN,NaN
2015-09-01,488,490.75,481.25,482.25,12258,-8488,-3770,NaN,NaN,NaN
2015-09-02,481.75,485,471.5,474.75,12270,-6853,-5417,NaN,NaN,NaN
2015-09-03,474.75,476,466.75,467.75,12270,-6853,-5417,NaN,NaN,NaN
2015-09-04,467,476.5,465.75,474.75,12270,-6853,-5417,NaN,NaN,NaN
2015-09-08,474,481.75,471.75,477,12270,-6853,-5417,NaN,NaN,NaN
2015-09-09,476,481.5,471.5,472.5,13509,-8682,-4827,NaN,NaN,NaN
2015-09-10,472,481,471.75,477.5,13509,-8682,-4827,NaN,NaN,NaN
2015-09-11,477.5,482.75,468.5,482.25,13509,-8682,-4827,NaN,NaN,NaN
