Future,X,Y,Z,A,B,C,Total,PF,Sharpe,NumTrades
gold,85,5,10,5,95,90,687.0000000000005,1.6294090700864599,0.15494450173774316,73
ym,85,5,5,5,90,95,13339.0,4.480041742759332,0.4476974118100347,16
2yr_ZT,85,5,5,5,90,90,0.30468700000000126,304687001.00000125,7.960573236419625,3
10yr_ZB,85,5,10,5,95,90,16.40625,16406250001.0,1.1867657388997,4
cattle,85,10,10,5,90,95,10.885000000000005,41.314814665501295,1.161133219197949,3
nq,85,10,10,5,90,95,867.5,1.2385043645610727,0.0677652106000011,19
silver,85,10,5,10,90,90,29.58700000000001,2.9363219894020736,0.30877647781199874,31
copper,85,5,5,5,95,90,0.6965000000000003,1.2872164947269211,0.0704762300506855,14
es,85,10,10,5,90,95,-105.75,0.8831491712708474,-0.04356693514292904,15
30yr_UB,85,10,10,5,90,90,-1.90625,0.9718634686351016,-0.009915709128902543,15
rty,85,5,10,5,90,90,706.9000000000001,2.671948912011182,0.33658163876213604,7
yen,85,5,5,5,95,95,2.099999999999845e-05,1.003301886273288,0.0011339276224451088,39
5yr_ZF,85,10,5,5,95,95,-2.2499250000000046,0.7102684291891402,-0.14087842619540536,6
soybean_oil,95,10,10,5,90,95,170.5,170500000000.99997,1.453540049641269,7
nkd,85,5,10,5,95,90,-4270.0,0.5260821309656464,-0.2536527191631679,11
cotton,85,10,5,5,95,90,-113.32000000000001,0.5621160013927813,-0.19724733883525503,50
dollar,85,10,10,5,95,95,-27.218999999999966,0.4124085227767552,-0.38285135097518597,15
coffee,85,10,10,5,95,90,535.85,2.219920318722323,0.25686462860509585,127
sugar,85,5,5,5,95,95,8.060000000000006,1.9243119264995063,0.2590325503467824,19
euro,85,5,5,5,90,90,-0.15734999999999988,0.645727795461606,-0.16054728173744753,15
corn,95,10,10,5,90,95,170.5,170500000000.99997,1.453540049641269,7
cocoa,85,10,5,5,95,95,4394.0,1.7223409501889326,0.17305005632442064,120
